User;Soil_name;Longitude decimal;Latitude decimal;Biome;Land_use;Date;Name_exp;Unique_ID;Pot_ID;Sample;Chber;Algae_growth;Temp;DarkLight;TeflonGlass;Flowrate_lpm;Surface(cm2);Wetsoil(g);Height(cm);GravimetricWater(gw/g);Drysoil(g);SoilVolume(cm3);Bulk density;TP;VolumetricWater;AFP;WFPS;pH;pHin;Redox;OCS_flux;OCS_flux_sd;OCS_conc_out;OCS_conc_sd;OCS_conc_in;OCS_conc_in_sd;CO2_flux_aero;CO2_flux_aero_sd;CO2_conc_out;CO2_conc_out_sd;CO2_conc_in;CO2_conc_in_sd;OCS_source;OCS_source_sd;Vd_OCS_model;z1_OCS;CA_OCS;kh_OCS;CO2_flux_TGA;CO2_flux_TGA_sd;CO2_out_ppm;CO2_out_ppm_sd;CO2_in_ppm;CO2_in_ppm_sd;d13C_flux;d13C_flux_sd;d13C_conc_out;d13C_conc_out_sd;d13C_conc_in;d13C_conc_in_sd;d18O_flux;d18O_flux_sd;d18O_conc_out;d18O_conc_out_sd;d18O_conc_in;d18O_conc_in_sd;kiso;total_biomass;bacteria_16S;fungi_18S;algae_23S;d18O_01cm;d18O_12cm;d18O_23cm;d18O_34cm;clay_content;silt_content;sand_content;C_N_ratio;Comments
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_4_D1_b;LCGE_4;LCGE;6;y;25;Light;Glass;0,25;61,51;393;4,9;0,25;315,06;301,4;1,05;0,61;0,26;0,35;0,43;6,35;NA;267;-1,024;0,116;1064,197;1,924;1098,07;1,9;-0,041;0,001;432,792;0,014;434,159;0,025;NA;NA;0,0186;0,0623;1,8;0,0034;-0,004;0,003;434,513;0,05;434,638;0,058;803,854;901,093;-3,898;0,189;-3,302;0,18;-3608,495;739,15;-11,598;0,176;-14,109;0,165;0,01999;40865,3;12621737776,37;123409701,43;3746203802,14;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_6_D1_b;LCGE_6;LCGE;7;y;25;Light;Glass;0,25;61,51;393;5,1;0,24;317,33;313,7;1,01;0,62;0,24;0,38;0,39;6,45;NA;260;-0,465;0,114;1081,071;2,135;1096,454;1,647;-0,283;0,001;423,624;0,01;432,985;0,021;NA;NA;0,0094;0,1036;0,9;0,0016;-0,273;0,003;425,435;0,045;434,482;0,061;9,725;16,442;-3,496;0,201;-3,229;0,145;-140,884;16,245;-10,798;0,178;-13,525;0,162;0,02291;51746,8;11637632076,6;124583887,74;5801959832,37;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_1_D1_c;LCGE_1;LCGE;1;n;25;Light;Glass;0,25;61,51;393;4,9;0,25;314,59;301,4;1,04;0,61;0,26;0,35;0,43;6,14;NA;285;0,052;0,108;1094,938;1,739;1093,224;1,822;0,424;0,001;447,211;0,01;433,191;0,014;NA;NA;NA;NA;NA;NA;0,42;0,003;448,526;0,047;434,626;0,046;-33,854;10,278;-4,311;0,153;-3,364;0,171;20,316;11,426;-12,697;0,18;-13,752;0,179;0,00589;33514,3;7981613198,3;96056286,28;544566948,08;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_3_D1_c;LCGE_3;LCGE;2;n;25;Light;Glass;0,25;61,51;393;4,9;0,24;317,74;301,4;1,05;0,6;0,25;0,35;0,41;6,14;NA;280;0,412;0,094;1121,331;1,538;1107,703;1,572;0,482;0,001;448,67;0,011;432,737;0,02;NA;NA;NA;NA;NA;NA;0,46;0,003;449,793;0,049;434,589;0,06;-23,126;11,041;-4,362;0,17;-3,701;0,21;8,274;10,64;-13,367;0,187;-14,111;0,178;0,00284;29323,2;6850109540,22;78510892,21;288742904,93;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_5_D1_c;LCGE_5;LCGE;3;n;25;Light;Glass;0,25;61,51;393;4,9;0,25;315,1;301,4;1,05;0,61;0,26;0,35;0,43;6,16;NA;273;0,251;0,119;1109,105;2,142;1100,807;1,787;0,509;0,001;449,96;0,014;433,116;0,024;NA;NA;NA;NA;NA;NA;0,474;0,003;450,309;0,055;434,624;0,043;-29,121;9,337;-4,021;0,173;-3,113;0,157;6,69;9,11;-12,536;0,16;-13,223;0,163;0,00233;41294,3;9970559516,91;222490429,26;493676834,09;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_2_D1_c;LCGE_2;LCGE;5;y;25;Light;Glass;0,25;61,51;393;5;0,24;316,73;307,55;1,03;0,61;0,25;0,36;0,41;6,39;NA;276;-0,829;0,107;1072,234;1,559;1099,653;1,97;-0,353;0,001;421,373;0,012;433,052;0,015;NA;NA;0,0175;0,068;1,7;0,0032;-0,426;0,004;420,707;0,072;434,807;0,059;11,026;12,955;-4,023;0,235;-3,54;0,193;-87,548;10,464;-11,893;0,158;-14,362;0,186;0,02407;79243;30376145230,01;239442864,12;6480274593,16;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_4_D1_c;LCGE_4;LCGE;6;y;25;Light;Glass;0,25;61,51;393;4,9;0,25;315,06;301,4;1,05;0,61;0,26;0,35;0,43;6,35;NA;267;-0,87;0,148;1061,495;2,386;1090,272;2,503;0,048;0,001;434,374;0,012;432,8;0,015;NA;NA;0,0186;0,0623;1,8;0,0034;0,05;0,004;436,206;0,06;434,537;0,058;-116,388;95,369;-3,954;0,179;-3,578;0,186;606,55;87,246;-11,63;0,151;-13,956;0,176;0,01999;40865,3;12621737776,37;123409701,43;3746203802,14;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_6_D1_c;LCGE_6;LCGE;7;y;25;Light;Glass;0,25;61,51;393;5,1;0,24;317,33;313,7;1,01;0,62;0,24;0,38;0,39;6,45;NA;260;-0,44;0,115;1079,416;2,085;1093,983;1,732;-0,207;0,001;426,075;0,012;432,93;0,018;NA;NA;0,0094;0,1036;0,9;0,0016;-0,219;0,003;427,554;0,058;434,791;0,057;37,518;24,509;-4,061;0,199;-3,377;0,211;-174,355;19,092;-11,601;0,177;-14,321;0,144;0,02291;51746,8;11637632076,6;124583887,74;5801959832,37;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_1_D1_d;LCGE_1;LCGE;1;n;25;Light;Glass;0,25;61,51;393;4,9;0,25;314,59;301,4;1,04;0,61;0,26;0,35;0,43;6,14;NA;285;0,124;0,107;1094,209;1,791;1090,12;1,752;0,421;0,001;444,286;0,01;430,37;0,017;NA;NA;NA;NA;NA;NA;0,42;0,004;445,622;0,07;431,737;0,054;-25,116;11,033;-40,013;0,167;-40,491;0,18;45,348;10,616;-26,041;0,158;-28,327;0,179;0,00589;33514,3;7981613198,3;96056286,28;544566948,08;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_3_D1_d;LCGE_3;LCGE;2;n;25;Light;Glass;0,25;61,51;393;4,9;0,24;317,74;301,4;1,05;0,6;0,25;0,35;0,41;6,14;NA;280;0,414;0,1;1114,764;1,788;1101,075;1,51;0,466;0,001;445,601;0,01;430,181;0,015;NA;NA;NA;NA;NA;NA;0,464;0,004;446,908;0,061;431,557;0,062;-24,017;9,627;-39,689;0,175;-40,246;0,161;16,232;9,348;-25,785;0,162;-27,278;0,165;0,00284;29323,2;6850109540,22;78510892,21;288742904,93;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_5_D1_d;LCGE_5;LCGE;3;n;25;Light;Glass;0,25;61,51;393;4,9;0,25;315,1;301,4;1,05;0,61;0,26;0,35;0,43;6,16;NA;273;0,15;0,108;1107,922;1,477;1102,965;2,106;0,501;0,001;446,843;0,01;430,259;0,016;NA;NA;NA;NA;NA;NA;0,468;0,004;447,234;0,067;431,749;0,077;-25,002;9,821;-39,397;0,193;-39,911;0,152;23,066;8,295;-24,986;0,129;-26,708;0,163;0,00233;41294,3;9970559516,91;222490429,26;493676834,09;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
