soil;Palmariales;Ptilidiales;Pelliales;Hemiaulales;Dendrocerotales;Dicranales;Lunulariales;Hedwigiales;Oedipodiales;Cymbellales;Prasiolales;Bangiales;Rhodymeniales;Takakiales;Ochromonadales;Anthocerotales;Stigonematales;Chlamydomonadales;Thalassiosirales;Monomastigales;Chlorodendrales;Marchantiales;Pottiales;Sphaeropleales;Euglyphida;Microthamniales;Sphagnales;Eustigmatales;Calobryales;Naviculales;Parmales;Diphysciales;Tribonematales;Pavlovales;Sphaerocarpales;Ignatiales;Funariales;Fragilariales;Nostocales;Pleurocapsales;Fucales;Cryptomonadales;Dolichomastigales;Prochlorales;Rhizosoleniales;Leiosporocerotales;Gigartinales;Ectocarpales;Tetraphidales;Pelagomonadales;Polytrichales;Zygnematales;Metzgeriales;Chroococcales;Bryoxiphiales;Pallaviciniales;Phaeocystales;Coscinodiscales;Pyramimonadales;Peridiniales;Bacillariales;Buxbaumiales;Hookeriales;Chattonellales;Chlorokybales;Stylonematales;Klebsormidiales;Porellales;Gelidiales;Chaetocerotales;Laminariales;Isochrysidales;Treubiales;Compsopogonales;Prymnesiales;Porphyridiales;Gloeobacterales;Blasiales;Pyrenomonadales;Ulotrichales;Andreaeales;Cyanidiales;Notothyladales;Bartramiales;Marsupiomonadales;Lithodesmiales;Chlorosarcinales;Grimmiales;Splachnales;Chlorellales;Mamiellales;Oscillatoriales;Rhizogoniales;Hypnales;Coleochaetales;Desmidiales;Bryales;Fossombroniales;Synurales;Chlorocystidales;Prasinococcales;Glaucocystales;Eupodiscales;Gracilariales;Archidiales;Chaetophorales;Andreaeobryales;Halymeniales;Corallinales;Bryopsidales;Euglenales;Chromulinales;Eunotiales;Scourfieldiales;Orthotrichales;Eutreptiales;Peronosporales;Vaucheriales;Gymnodiniales;Leptocylindrales;Charales;Jungermanniales;Ceramiales;Ctenocladales;Pedinomonadales;Ulvales;Mesostigmatales;Acrosiphoniales;Unknown;Unclassified;Environmental
LB5;0;0;0;0;0;0;0;0;0;0;2;2;0;5;0;0;0;1313;0;0;0;0;11;8;0;48;1;41;0;3;0;0;0;0;0;0;0;0;11;2;0;0;0;2;0;0;0;0;2;0;0;683;0;4;0;0;0;0;0;5;2;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;327;0;24;0;2;0;61;12;0;49;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;26086;1353;0
LB6;0;0;0;1;0;21;0;0;0;0;0;0;0;4;0;1;0;1631;0;0;0;0;6;16;0;76;0;29;0;11;0;0;0;0;0;0;0;0;36;0;0;0;0;3;0;0;0;1;2;0;7;1133;0;4;0;0;0;0;0;5;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0;28;0;0;0;126;7;0;53;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;13;0;0;0;0;0;0;1;2;0;0;24900;1853;0
LG1;0;0;0;36;0;4;0;1;1;84;220;0;0;1;0;0;0;1927;17;0;1;15;283;510;0;92;0;96;0;712;2;0;0;0;0;2;0;3;1004;16;0;20;0;62;0;1;0;50;151;0;0;1;0;100;0;0;0;0;0;2670;40;0;6;0;0;0;1925;0;0;0;10;0;0;1;0;6;0;0;2;43;0;0;0;0;1;0;0;0;0;2807;0;2238;0;6;0;0;1611;0;38;32;0;0;0;0;0;0;0;0;0;0;134;34;2341;0;0;0;0;5328;0;0;0;0;0;30;10;36;1;0;2435;2903;0
LG2;0;0;0;26;0;0;0;0;1;42;33;1;0;2;0;0;0;2372;8;0;0;0;43;2845;0;14;0;279;0;1117;18;0;0;0;0;1;0;10;635;170;0;116;0;36;1;0;0;20;17;0;0;6;0;451;0;0;0;2;0;1508;30;0;0;0;0;0;128;0;0;0;8;0;0;9;0;3;0;0;2;6;0;0;0;0;2;0;0;0;0;2269;0;6264;0;1;0;0;65;0;3;10;0;0;0;0;0;0;0;0;0;0;174;1;1454;0;0;0;0;2640;1;0;0;0;0;4;7;6;0;0;2815;4424;0
LG3;0;0;0;42;0;4;0;1;1;67;160;0;0;5;0;0;0;1480;19;0;0;24;1017;678;0;55;0;128;0;465;0;0;0;0;0;0;0;16;1234;16;1;22;0;76;0;2;0;47;225;0;0;3;0;119;0;0;0;0;0;1821;22;0;6;0;0;0;587;0;0;0;9;0;0;6;0;7;0;0;1;26;0;0;1;3;1;0;0;0;0;2182;0;2566;0;1;0;0;2328;0;19;42;0;0;0;0;0;0;0;0;0;0;148;2;2195;0;2;0;0;5784;0;0;0;0;0;40;10;15;0;0;2226;4143;0
LG4;0;0;0;5;0;0;0;0;0;65;16;1;0;0;0;19;0;1453;1;0;0;1;223;414;0;9;0;130;0;575;5;0;0;0;0;0;0;8;7372;238;0;41;0;209;0;1;0;11;103;0;1;7;0;739;0;0;0;7;0;1517;25;0;0;0;0;0;252;0;0;0;0;0;0;2;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;967;0;6896;0;0;0;0;162;0;5;6;0;0;0;0;0;0;0;0;0;0;167;1;1260;0;0;0;0;1055;0;0;0;0;0;0;1;9;0;0;973;5138;0
LG5;0;0;0;50;0;3;0;0;0;61;207;0;0;4;0;0;0;2136;8;0;0;1;603;781;0;66;0;102;0;417;1;0;0;0;0;0;0;8;1433;26;1;9;0;125;0;0;0;33;96;0;0;4;0;131;0;0;0;0;0;2461;18;0;5;0;0;0;1286;0;0;0;10;0;0;4;1;2;0;0;2;33;0;0;1;0;0;0;0;0;7;3349;0;1377;0;1;0;0;1505;0;16;44;0;0;0;0;0;0;0;0;0;0;119;5;2601;0;0;0;0;4581;0;0;0;0;0;34;21;8;0;0;3138;3165;0
LG6;0;0;0;24;0;1;0;0;0;40;26;1;0;1;0;0;0;2893;11;0;0;0;87;1437;0;24;0;307;0;841;23;0;0;0;0;0;0;21;1179;304;0;96;0;42;1;1;0;34;31;0;0;7;0;778;0;0;0;0;0;1529;32;0;1;0;0;0;299;0;0;0;3;0;0;6;0;1;0;0;0;7;0;0;0;0;2;0;0;0;0;1991;0;7707;0;0;0;0;67;0;6;5;0;0;0;0;0;0;0;0;0;0;260;1;1198;0;0;0;0;2433;0;2;0;0;0;0;5;3;0;0;2083;4249;0
TL1;0;0;0;49;0;4;0;0;4;71;189;0;0;1081;0;0;0;1820;4;0;0;0;1979;2266;0;0;0;418;0;441;0;0;0;0;0;0;2;1;4744;0;0;2;0;109;0;11;0;33;200;0;45;8;0;13;0;0;0;0;0;600;3;0;2;0;0;0;12;0;0;0;1;0;0;0;0;0;0;0;1;33;0;0;0;8;0;0;1;0;28;966;0;407;0;1;0;0;2446;0;9;727;0;0;0;0;0;0;0;0;0;0;0;1;973;0;5;0;0;3193;0;0;0;0;0;0;64;1;0;0;4657;2467;0
TL2;0;0;0;45;0;2;0;0;8;94;252;0;0;944;0;0;0;1266;5;0;0;0;2432;2667;0;1;8;429;0;449;0;0;0;0;0;0;0;5;4609;1;0;4;0;174;0;8;0;74;228;0;9;8;0;172;1;0;0;0;0;1064;11;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;11;0;0;0;0;17;727;0;564;0;2;0;0;2052;0;0;805;0;0;0;0;0;0;0;0;0;0;0;0;1058;0;4;0;0;3245;0;0;0;0;0;0;53;3;0;0;3901;2681;0
TL3;0;0;0;42;0;7;0;0;3;97;270;0;0;884;0;0;0;1243;6;0;0;0;2559;2623;0;1;2;435;0;443;0;0;0;0;0;0;0;3;4693;0;0;1;0;163;0;9;0;61;220;0;6;4;0;166;0;0;0;0;0;1077;16;0;4;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;1;2;0;0;0;3;0;2;0;0;19;760;0;416;0;2;0;0;2135;0;0;768;0;0;0;0;0;0;0;0;0;0;0;0;1087;0;5;0;0;3278;0;0;0;0;0;0;72;3;1;0;3887;2613;0
TL4;0;0;0;0;0;12;0;7;0;73;4;0;0;8;0;0;0;215;1;0;0;0;3068;134;0;0;0;41;0;79;0;0;0;0;0;0;3;1;7969;156;0;19;0;14;0;0;0;0;660;0;2;4;0;2599;4;0;0;1;0;203;5;0;7;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;2;103;0;5737;0;2;0;0;497;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;245;0;1;0;0;26;0;0;0;0;0;1;3;1;0;0;291;7883;0
TL5;0;0;0;0;0;18;0;7;0;69;3;0;0;4;0;0;0;210;0;0;0;0;4062;100;0;0;0;36;0;96;0;0;0;0;0;0;6;5;7450;119;0;15;0;20;0;0;0;2;586;0;0;2;0;2176;1;0;0;1;0;240;4;0;7;0;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;89;0;5531;0;0;0;0;426;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;208;0;0;0;0;12;0;0;0;0;0;2;4;1;0;0;214;8360;0
TL6;0;0;0;1;0;12;0;10;0;125;5;0;0;6;0;0;0;182;1;0;0;0;3452;106;0;0;0;44;0;97;0;0;0;0;0;0;3;5;7315;162;0;8;0;12;0;0;0;0;594;0;0;7;0;2591;0;0;0;1;0;238;4;0;2;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;63;0;5395;0;0;0;0;527;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;310;0;0;0;0;23;0;0;0;0;0;2;1;0;0;0;257;8524;0
