DEFINED OTU	PHYLUM	CLASS	ORDER	FAMILY	GENUS
OTU11	Bacteroidetes(2370)	Sphingobacteriia(2370)	Sphingobacteriales(2370)	Sphingobacteriaceae(2) Chitinophagaceae(2368) 	Terrimonas(1) Unknown(290) Chitinophaga(809) Lacibacter(2) Niastella(130) Ferruginibacter(159) Parasegetibacter(396) Flavisolibacter(581) Sphingobacterium(2) 
OTU12	Acidobacteria(2170) Actinobacteria(4) 	Actinobacteria(4) Holophagae(2170) 	Micrococcales(4) Holophagales(2170) 	Holophagaceae(2170) Microbacteriaceae(4) 	Holophaga(2170) Frigoribacterium(4) 
OTU13	Proteobacteria(2144)	Alphaproteobacteria(2144)	Rhodospirillales(2144)	Rhodospirillaceae(984) Acetobacteraceae(1102) Unknown(58) 	Elstera(3) Azospirillum(8) Defluviicoccus(4) Unknown(58) Skermanella(969) Stella(1102) 
OTU14	Thaumarchaeota(10) Crenarchaeota(2116) 	Thermoprotei(2116) Unknown(10) 	Unknown(10) Acidilobales(19) Thermoproteales(1411) Fervidicoccales(1) Desulfurococcales(685) 	Desulfurococcaceae(685) Fervidicoccaceae(1) Unknown(10) Caldisphaeraceae(19) Thermofilaceae(1411) 	Aeropyrum(1) Caldisphaera(19) Ignisphaera(4) Sulfophobococcus(675) Staphylothermus(5) Unknown(10) Thermofilum(1411) Fervidicoccus(1) 
OTU15	Acidobacteria(2028) Firmicutes(1) 	Holophagae(2028) Bacilli(1) 	Holophagales(2028) Bacillales(1) 	Holophagaceae(2028) Bacillaceae(1) 	Holophaga(2028) Bacillus(1) 
OTU16	Proteobacteria(1862)	Gammaproteobacteria(1862)	Chromatiales(1862)	Chromatiaceae(1862)	Nitrosococcus(1862)
OTU17	Acidobacteria(1857) Proteobacteria(5) 	Betaproteobacteria(5) Holophagae(1857) 	Rhodocyclales(5) Holophagales(1857) 	Holophagaceae(1857) Rhodocyclaceae(5) 	Azospira(5) Holophaga(1857) 
OTU18	Proteobacteria(1836)	Betaproteobacteria(1836)	Burkholderiales(1836)	Burkholderiaceae(1836)	Burkholderia(1836)
OTU19	Proteobacteria(25) Acidobacteria(1795) 	Holophagae(1772) Unknown(23) Betaproteobacteria(25) 	Holophagales(1772) Unknown(23) Rhodocyclales(25) 	Holophagaceae(1772) Unknown(23) Rhodocyclaceae(25) 	Azospira(25) Geothrix(174) Unknown(23) Holophaga(1598) 
OTU20	Planctomycetes(1778)	Planctomycetia(160) Planctomycetacia(1618) 	Planctomycetales(1778)	Planctomycetaceae(1778)	Isosphaera(1708) Singulisphaera(52) Unknown(18) 
OTU21	Proteobacteria(218) Actinobacteria(30) Cyanobacteria(38) Bacteroidetes(1402) Firmicutes(15) 	Actinobacteria(30) Clostridia(9) Flavobacteria(125) Bacilli(6) Alphaproteobacteria(6) Gammaproteobacteria(211) Sphingobacteriia(1277) Unknown(38) Betaproteobacteria(1) 	Bacillales(1) Rhodospirillales(6) Thiotrichales(1) Unknown(38) Flavobacteriales(125) Corynebacteriales(30) Clostridiales(9) Burkholderiales(1) Alteromonadales(3) Enterobacteriales(202) Lactobacillales(5) Xanthomonadales(5) Sphingobacteriales(1277) 	Thiotrichaceae(1) Mycobacteriaceae(30) Lactobacillaceae(1) Flavobacteriaceae(125) Planococcaceae(1) Saprospiraceae(1277) Pseudoalteromonadaceae(3) Leuconostocaceae(4) Alcaligenaceae(1) Enterobacteriaceae(202) Unknown(38) Xanthomonadaceae(5) Veillonellaceae(9) Rhodospirillaceae(6) 	Mycobacterium(30) Luteibacter(5) Defluviicoccus(6) Algibacter(125) Lewinella(1277) Derxia(1) Veillonella(9) Leuconostoc(4) Thiothrix(1) Lysinibacillus(1) Leptolyngbya(38) Pseudoalteromonas(3) Enterobacter(202) Lactobacillus(1) 
OTU22	Acidobacteria(1614)	Holophagae(1614)	Holophagales(1614)	Holophagaceae(1614)	Holophaga(1614)
OTU23	Thaumarchaeota(325) Crenarchaeota(1136) 	Unknown(325) Thermoprotei(1136) 	Fervidicoccales(6) Unknown(325) Thermoproteales(72) Desulfurococcales(1058) 	Thermofilaceae(72) Desulfurococcaceae(1058) Fervidicoccaceae(6) Unknown(325) 	Aeropyrum(8) Ignisphaera(63) Desulfurococcus(2) Thermosphaera(725) Sulfophobococcus(258) Fervidicoccus(6) Unknown(325) Thermofilum(72) Staphylothermus(2) 
OTU24	Actinobacteria(1443)	Actinobacteria(1443)	Corynebacteriales(1443)	Mycobacteriaceae(1443)	Mycobacterium(1443)
OTU25	Firmicutes(1) Proteobacteria(1408) Nitrospirae(9) 	Bacilli(1) Nitrospira(9) Gammaproteobacteria(1408) 	Nitrospirales(9) Enterobacteriales(1408) Bacillales(1) 	Enterobacteriaceae(1408) Nitrospiraceae(9) Bacillaceae(1) 	Nitrospira(9) Bacillus(1) Enterobacter(1408) 
OTU26	Bacteroidetes(1356)	Cytophagia(1356)	Cytophagales(1356)	Cytophagaceae(1356)	Flexibacter(1356)
OTU27	Firmicutes(1) Unknown(177) Nitrospinae(3) Elusimicrobia(1) Proteobacteria(1095) 	Unknown(177) Nitrospinia(3) Deltaproteobacteria(1095) Elusimicrobia(1) Clostridia(1) 	Nitrospinales(3) Thermoanaerobacterales(1) Unknown(177) Desulfobacterales(439) Syntrophobacterales(656) Elusimicrobiales(1) 	Unknown(177) Elusimicrobiaceae(1) Desulfobacteraceae(63) Nitrospinaceae(371) Syntrophaceae(656) Thermoanaerobacteraceae(1) Desulfobulbaceae(8) 	Unknown(177) Elusimicrobium(1) Gelria(1) Desulforegula(17) Candidatus_Entotheonella(368) Desulfosalsimonas(12) Desulfatirhabdium(3) Desulfobacterium(31) Syntrophus(560) Smithella(24) Desulfomonile(72) Nitrospina(3) Desulfobulbus(8) 
OTU28	Proteobacteria(1259) Cyanobacteria(5) 	Alphaproteobacteria(993) Unknown(5) Betaproteobacteria(266) 	Pleurocapsales(5) Rhodobacterales(993) Burkholderiales(266) 	Burkholderiaceae(266) Unknown(5) Rhodobacteraceae(993) 	Paracoccus(993) Ralstonia(266) Chroococcidiopsis(5) 
OTU29	Proteobacteria(1256)	Gammaproteobacteria(954) Betaproteobacteria(302) 	Burkholderiales(302) Chromatiales(1) Xanthomonadales(953) 	Oxalobacteraceae(302) Sinobacteraceae(953) Chromatiaceae(1) 	Steroidobacter(952) Unknown(1) Massilia(302) Nitrosococcus(1) 
OTU30	Actinobacteria(1244)	Unknown(10) Coriobacteriia(1) Nitriliruptoria(3) Actinobacteria(1230) 	Streptomycetales(3) Coriobacteriales(1) Unknown(10) Propionibacteriales(1223) Euzebyales(3) Streptosporangiales(1) Frankiales(3) 	Euzebyaceae(3) Nocardioidaceae(1223) Streptomycetaceae(3) Coriobacteriaceae(1) Frankiaceae(3) Unknown(10) Nocardiopsaceae(1) 	Marmoricola(8) Unknown(10) Kribbella(1215) Streptomyces(3) Atopobium(1) Haloactinospora(1) Frankia(3) Euzebya(3) 
OTU31	Proteobacteria(1140) Unknown(1) 	Betaproteobacteria(1139) Unknown(1) Gammaproteobacteria(1) 	Pseudomonadales(1) Unknown(1) Burkholderiales(1139) 	Comamonadaceae(1137) Unknown(1) Oxalobacteraceae(2) Pseudomonadaceae(1) 	Azohydromonas(1) Acidovorax(18) Unknown(637) Aquabacterium(1) Simplicispira(2) Hylemonella(1) Hydrogenophaga(90) Ideonella(35) Caenimonas(11) Pseudorhodoferax(1) Limnohabitans(3) Comamonas(47) Methylibium(13) Rubrivivax(7) Piscinibacter(66) Albidiferax(1) Variovorax(87) Massilia(2) Leptothrix(20) Pseudomonas(1) Ramlibacter(93) Curvibacter(3) Chlorochromatium(1) 
OTU32	Bacteroidetes(920) Proteobacteria(205) 	Flavobacteria(919) Gammaproteobacteria(205) Flavobacteriia(1) 	Pseudomonadales(205) Flavobacteriales(920) 	Flavobacteriaceae(920) Pseudomonadaceae(205) 	Pseudomonas(1) Flavobacterium(920) Unknown(204) 
OTU33	Proteobacteria(96) Cyanobacteria(11) Deinococcus-Thermus(28) Bacteroidetes(13) Unknown(1) Firmicutes(949) 	Deinococci(28) Bacilli(949) Cytophagia(2) Gammaproteobacteria(20) Alphaproteobacteria(9) Sphingobacteriia(11) Betaproteobacteria(67) Unknown(12) 	Cytophagales(2) Sphingobacteriales(11) Enterobacteriales(20) Deinococcales(28) Rhodobacterales(1) Burkholderiales(67) Unknown(12) Sphingomonadales(8) Bacillales(949) 	Alcaligenaceae(67) Bacillaceae(4) Cytophagaceae(2) Planococcaceae(945) Chitinophagaceae(11) Rhodobacteraceae(1) Unknown(12) Enterobacteriaceae(20) Trueperaceae(28) Sphingomonadaceae(8) 	Truepera(28) Shimia(1) Bacillus(4) Derxia(67) Sandarakinorhabdus(8) Unknown(21) Microscilla(2) Leptolyngbya(7) Microcoleus(4) Ferruginibacter(11) Lysinibacillus(945) 
OTU34	Proteobacteria(1084)	Alphaproteobacteria(1084)	Rhizobiales(1084)	Hyphomicrobiaceae(69) Rhodobiaceae(1015) 	Unknown(1) Rhodomicrobium(1) Devosia(1) Pedomicrobium(6) Rhodobium(1015) Filomicrobium(1) Rhodoplanes(2) Hyphomicrobium(57) 
OTU35	Proteobacteria(1059) Cyanobacteria(3) Bacteroidetes(2) Firmicutes(1) 	Bacilli(1) Unknown(3) Gammaproteobacteria(1059) Flavobacteria(2) 	Enterobacteriales(1059) Lactobacillales(1) Unknown(3) Flavobacteriales(2) 	Streptococcaceae(1) Enterobacteriaceae(1059) Flavobacteriaceae(2) Unknown(3) 	Leptolyngbya(3) Enterobacter(1059) Lactococcus(1) Algibacter(2) 
OTU36	Actinobacteria(1058)	Thermoleophilia(1058)	Solirubrobacterales(1058)	Unknown(32) Patulibacteraceae(69) Conexibacteraceae(648) Solirubrobacteraceae(309) 	Unknown(32) Patulibacter(69) Conexibacter(648) Solirubrobacter(309) 
OTU37	Acidobacteria(1026)	Holophagae(1026)	Holophagales(1026)	Holophagaceae(1026)	Holophaga(1026)
OTU38	Proteobacteria(977)	Alphaproteobacteria(977)	Sphingomonadales(977)	Sphingomonadaceae(793) Erythrobacteraceae(1) Unknown(183) 	Unknown(184) Sphingopyxis(705) Novosphingobium(34) Sphingomonas(54) 
OTU39	Proteobacteria(973)	Alphaproteobacteria(973)	Rhizobiales(973)	Hyphomicrobiaceae(953) Beijerinckiaceae(5) Methylocystaceae(4) Unknown(11) 	Unknown(11) Blastochloris(953) Methylocapsa(1) Albibacter(1) Beijerinckia(4) Methylocystis(3) 
OTU40	Actinobacteria(968)	Actinobacteria(968)	Micrococcales(968)	Microbacteriaceae(968)	Frigoribacterium(968)
OTU41	Proteobacteria(921) Planctomycetes(45) 	Planctomycetacia(40) Planctomycetia(5) Betaproteobacteria(921) 	Burkholderiales(921) Planctomycetales(45) 	Burkholderiaceae(921) Planctomycetaceae(45) 	Unknown(6) Rhodopirellula(34) Blastopirellula(4) Ralstonia(921) Pirellula(1) 
OTU42	Actinobacteria(942)	Actinobacteria(855) Unknown(87) 	Actinomycetales(87) Propionibacteriales(855) 	Nocardioidaceae(942)	Unknown(55) Marmoricola(218) Nocardioides(658) Aeromicrobium(11) 
OTU43	Proteobacteria(938)	Betaproteobacteria(938)	Methylophilales(938)	Methylophilaceae(938)	Methylotenera(938)
OTU44	Actinobacteria(933)	Thermoleophilia(933)	Solirubrobacterales(933)	Patulibacteraceae(772) Solirubrobacteraceae(7) Conexibacteraceae(147) Unknown(7) 	Conexibacter(147) Solirubrobacter(7) Unknown(7) Patulibacter(772) 
OTU45	Bacteroidetes(924)	Sphingobacteriia(924)	Sphingobacteriales(924)	Chitinophagaceae(924)	Unknown(110) Hydrotalea(4) Chitinophaga(25) Lacibacter(7) Ferruginibacter(778) 
OTU46	Proteobacteria(904)	Alphaproteobacteria(904)	Rhodospirillales(904)	Acetobacteraceae(904)	Acidocella(17) Acidicaldus(7) Rhodopila(53) Acidiphilium(4) Gluconacetobacter(5) Acidisoma(2) Acidisphaera(806) Unknown(10) 
OTU47	Proteobacteria(897)	Alphaproteobacteria(897)	Caulobacterales(897)	Caulobacteraceae(897)	Unknown(12) Caulobacter(117) Phenylobacterium(768) 
OTU48	Bacteroidetes(869)	Sphingobacteriia(869)	Sphingobacteriales(869)	Sphingobacteriaceae(83) Chitinophagaceae(786) 	Terrimonas(1) Hydrotalea(19) Unknown(97) Sediminibacterium(10) Lacibacter(3) Chitinophaga(508) Ferruginibacter(120) Sphingobacterium(83) Flavisolibacter(6) Flavihumibacter(22) 
OTU49	Bacteroidetes(840)	Sphingobacteriia(840)	Sphingobacteriales(840)	Sphingobacteriaceae(17) Chitinophagaceae(823) 	Terrimonas(8) Chitinophaga(223) Lacibacter(2) Sediminibacterium(9) Unknown(26) Hydrotalea(10) Parasegetibacter(1) Ferruginibacter(50) Niastella(97) Flavisolibacter(397) Sphingobacterium(17) 
OTU50	Acidobacteria(828)	Holophagae(828)	Holophagales(828)	Holophagaceae(828)	Holophaga(828)
OTU51	Bacteroidetes(827)	Sphingobacteriia(827)	Sphingobacteriales(827)	Chitinophagaceae(827)	Ferruginibacter(781) Segetibacter(35) Unknown(7) Chitinophaga(4) 
OTU52	Proteobacteria(361) Firmicutes(460) 	Bacilli(460) Epsilonproteobacteria(7) Gammaproteobacteria(2) Deltaproteobacteria(352) 	Pseudomonadales(2) Unknown(32) Desulfuromonadales(1) Campylobacterales(7) Bacillales(460) Myxococcales(5) Desulfobacterales(314) 	Helicobacteraceae(7) Desulfuromonadaceae(1) Unknown(32) Cystobacteraceae(3) Pseudomonadaceae(2) Myxococcaceae(1) Bacillaceae(460) Haliangiaceae(1) Desulfobulbaceae(314) 	Bacillus(460) Anaeromyxobacter(4) Desulfuromonas(1) Sulfurovum(7) Unknown(32) Haliangium(1) Desulfobulbus(314) Pseudomonas(2) 
OTU53	Bacteroidetes(812)	Sphingobacteriia(812)	Sphingobacteriales(812)	Chitinophagaceae(812)	Unknown(8) Sediminibacterium(2) Lacibacter(5) Chitinophaga(1) Niastella(35) Ferruginibacter(8) Flavisolibacter(723) Flavihumibacter(2) Niabella(28) 
OTU54	Unknown(4) Bacteroidetes(5) Firmicutes(586) Nitrospirae(2) Proteobacteria(28) Cyanobacteria(148) 	Alphaproteobacteria(2) Gammaproteobacteria(21) Unknown(152) Betaproteobacteria(1) Clostridia(83) Deltaproteobacteria(4) Cytophagia(5) Bacilli(503) Nitrospira(2) 	Rickettsiales(1) Desulfovibrionales(4) Cytophagales(5) Pleurocapsales(148) Enterobacteriales(21) Nitrospirales(2) Unknown(5) Sphingomonadales(1) Bacillales(503) Clostridiales(83) 	Nitrospiraceae(2) Syntrophomonadaceae(83) Unknown(154) Enterobacteriaceae(21) Sphingomonadaceae(1) Cytophagaceae(5) Bacillaceae(503) Desulfovibrionaceae(4) 	Pantoea(21) Chroococcidiopsis(148) Sphingomonas(1) Desulfovibrio(4) Nitrospira(2) Arcicella(5) Bacillus(503) Unknown(6) Syntrophomonas(83) 
OTU55	Proteobacteria(767)	Alphaproteobacteria(765) Unknown(2) 	Rhodospirillales(765) Unknown(2) 	Acetobacteraceae(765) Unknown(2) 	Acidicaldus(599) Rhodopila(5) Acidisoma(4) Gluconacetobacter(1) Acidisphaera(151) Unknown(6) Rubritepida(1) 
OTU56	Bacteroidetes(746)	Sphingobacteriia(746)	Sphingobacteriales(746)	Chitinophagaceae(746)	Segetibacter(1) Ferruginibacter(8) Lacibacter(737) 
OTU57	Proteobacteria(739)	Alphaproteobacteria(739)	Sphingomonadales(739)	Erythrobacteraceae(570) Unknown(7) Sphingomonadaceae(162) 	Erythrobacter(8) Porphyrobacter(16) Altererythrobacter(133) Sphingobium(5) Unknown(420) Blastomonas(2) Sphingopyxis(52) Novosphingobium(97) Sphingomonas(6) 
OTU58	Actinobacteria(728)	Thermoleophilia(728)	Gaiellales(728)	Gaiellaceae(728)	Gaiella(728)
OTU59	Proteobacteria(723) Fibrobacteres(1) 	Gammaproteobacteria(722) Alphaproteobacteria(1) Fibrobacteria(1) 	Unknown(1) Rhodospirillales(1) Xanthomonadales(722) 	Unknown(1) Xanthomonadaceae(722) Rhodospirillaceae(1) 	Rhodanobacter(95) Unknown(2) Lysobacter(2) Arenimonas(623) Thermomonas(2) 
OTU60	Bacteroidetes(720)	Sphingobacteriia(720)	Sphingobacteriales(720)	Chitinophagaceae(720)	Flavihumibacter(1) Flavisolibacter(1) Unknown(1) Lacibacter(1) Ferruginibacter(16) Parasegetibacter(699) Terrimonas(1) 
OTU61	Proteobacteria(11) Bacteroidetes(653) 	Alphaproteobacteria(11) Cytophagia(653) 	Rhizobiales(6) Cytophagales(653) Rhodospirillales(5) 	Unknown(3) Rhodospirillaceae(5) Cytophagaceae(653) Bradyrhizobiaceae(1) Hyphomicrobiaceae(2) 	Skermanella(5) Bradyrhizobium(1) Rhodoplanes(2) Rhizomicrobium(3) Flexibacter(653) 
OTU62	Bacteroidetes(591) Proteobacteria(48) 	Flavobacteria(590) Flavobacteriia(1) Gammaproteobacteria(48) 	Pseudomonadales(48) Flavobacteriales(591) 	Pseudomonadaceae(48) Flavobacteriaceae(591) 	Unknown(48) Flavobacterium(591) 
OTU63	Proteobacteria(628)	Gammaproteobacteria(628)	Chromatiales(628)	Chromatiaceae(628)	Nitrosococcus(628)
OTU64	Acidobacteria(622)	Holophagae(622)	Holophagales(622)	Holophagaceae(622)	Holophaga(622)
OTU65	Proteobacteria(609)	Gammaproteobacteria(609)	Unknown(11) Alteromonadales(2) Thiotrichales(19) Legionellales(577) 	Coxiellaceae(577) Thiotrichaceae(19) Alteromonadaceae(2) Unknown(11) 	Coxiella(4) Bowmanella(2) Beggiatoa(19) Unknown(11) Aquicella(573) 
OTU66	Bacteroidetes(606)	Cytophagia(606)	Cytophagales(606)	Cytophagaceae(606)	Flexibacter(606)
OTU67	Chloroflexi(89) Planctomycetes(516) 	Planctomycetia(55) Anaerolineae(89) Planctomycetacia(461) 	Planctomycetales(516) Anaerolineales(89) 	Anaerolineaceae(89) Planctomycetaceae(516) 	Planctomyces(436) Unknown(169) 
OTU68	Fibrobacteres(59) Proteobacteria(519) 	Unknown(51) Fibrobacteria(59) Gammaproteobacteria(465) Alphaproteobacteria(3) 	Unknown(110) Rhodospirillales(3) Xanthomonadales(465) 	Unknown(110) Xanthomonadaceae(465) Rhodospirillaceae(3) 	Xanthomonas(117) Luteimonas(8) Unknown(124) Luteibacter(4) Rhodanobacter(6) Pseudoxanthomonas(1) Thermomonas(152) Dokdonella(33) Lysobacter(126) Aquimonas(7) 
OTU69	Proteobacteria(573)	Gammaproteobacteria(573)	Pseudomonadales(573)	Moraxellaceae(573)	Enhydrobacter(573)
OTU70	Actinobacteria(2) Acidobacteria(566) 	Holophagae(566) Actinobacteria(2) 	Micrococcales(2) Holophagales(566) 	Microbacteriaceae(2) Holophagaceae(566) 	Frigoribacterium(2) Holophaga(566) 
OTU71	Proteobacteria(567)	Deltaproteobacteria(567)	Myxococcales(567)	Haliangiaceae(567)	Haliangium(567)
OTU72	Planctomycetes(562)	Planctomycetacia(562)	Planctomycetales(562)	Planctomycetaceae(562)	Pirellula(562)
OTU73	Proteobacteria(542)	Deltaproteobacteria(542)	Desulfobacterales(542)	Nitrospinaceae(542)	Candidatus_Entotheonella(542)
OTU74	Proteobacteria(531)	Gammaproteobacteria(531)	Xanthomonadales(529) Chromatiales(2) 	Sinobacteraceae(360) Xanthomonadaceae(169) Chromatiaceae(2) 	Xanthomonas(169) Nitrosococcus(2) Steroidobacter(360) 
OTU75	Proteobacteria(528)	Alphaproteobacteria(528)	Rhizobiales(528)	Unknown(1) Rhizobiaceae(1) Bradyrhizobiaceae(521) Xanthobacteraceae(5) 	Rhizobium(1) Bradyrhizobium(156) Blastobacter(1) Afipia(1) Unknown(334) Rhodopseudomonas(11) Nitrobacter(23) Pseudolabrys(1) 
OTU76	Acidobacteria(43) Proteobacteria(22) Actinobacteria(446) 	Actinobacteria(446) Gammaproteobacteria(22) Holophagae(27) Unknown(16) 	Acidobacteriales(16) Xanthomonadales(22) Micrococcales(446) Holophagales(27) 	Holophagaceae(27) Xanthomonadaceae(22) Microbacteriaceae(446) Acidobacteriaceae(16) 	Frigoribacterium(446) Candidatus_Koribacter(16) Holophaga(27) Rhodanobacter(22) 
OTU77	Proteobacteria(511)	Alphaproteobacteria(511)	Rhizobiales(511)	Hyphomicrobiaceae(511)	Unknown(2) Pedomicrobium(425) Filomicrobium(8) Hyphomicrobium(76) 
OTU78	Proteobacteria(492)	Gammaproteobacteria(492)	Legionellales(492)	Coxiellaceae(492)	Aquicella(492)
OTU79	Proteobacteria(482)	Gammaproteobacteria(482)	Pseudomonadales(482)	Pseudomonadaceae(482)	Pseudomonas(482)
