DEFINED OTU	PHYLUM	CLASS	ORDER	FAMILY	GENUS
OTU1	Euryarchaeota(27270) Thaumarchaeota(2445) Crenarchaeota(6157) 	Thermoprotei(6157) Methanomicrobia(27266) Methanobacteria(4) Unknown(2445) 	Fervidicoccales(149) Acidilobales(834) Unknown(2445) Thermoproteales(3670) Methanobacteriales(4) Methanomicrobiales(27266) Desulfurococcales(1504) 	Caldisphaeraceae(834) Thermofilaceae(3670) Methanobacteriaceae(4) Desulfurococcaceae(1504) Fervidicoccaceae(149) Methanomicrobiaceae(27266) Unknown(2445) 	Sulfophobococcus(1420) Methanomicrobium(27266) Methanobrevibacter(4) Fervidicoccus(149) Staphylothermus(35) Unknown(2445) Thermofilum(3670) Aeropyrum(36) Caldisphaera(834) Ignisphaera(13) 
OTU2	Actinobacteria(10562)	Actinobacteria(10562)	Frankiales(10561) Streptosporangiales(1) 	Thermomonosporaceae(1) Acidothermaceae(10561) 	Actinoallomurus(1) Acidothermus(10561) 
OTU3	Thaumarchaeota(27) Euryarchaeota(6) Crenarchaeota(7327) 	Unknown(27) Methanomicrobia(6) Thermoprotei(7327) 	Desulfurococcales(7046) Methanomicrobiales(6) Thermoproteales(196) Unknown(27) Acidilobales(85) 	Caldisphaeraceae(85) Thermofilaceae(196) Desulfurococcaceae(7046) Methanomicrobiaceae(6) Unknown(27) 	Thermosphaera(1) Desulfurococcus(6) Caldisphaera(85) Thermofilum(196) Unknown(27) Sulfophobococcus(7039) Methanomicrobium(6) 
OTU4	Bacteroidetes(7217) Unknown(2) 	Unknown(2) Sphingobacteriia(7217) 	Unknown(2) Sphingobacteriales(7217) 	Chitinophagaceae(7217) Unknown(2) 	Lacibacter(9) Chitinophaga(17) Hydrotalea(1) Unknown(118) Sediminibacterium(4) Segetibacter(4) Terrimonas(6456) Flavisolibacter(112) Ferruginibacter(486) Parasegetibacter(8) Filimonas(1) Niastella(3) 
OTU5	Proteobacteria(4043)	Alphaproteobacteria(4043)	Rhizobiales(4043)	Methylocystaceae(8) Unknown(9) Hyphomicrobiaceae(3483) Xanthobacteraceae(522) Beijerinckiaceae(1) Bradyrhizobiaceae(20) 	Methylocystis(8) Bradyrhizobium(11) Rhodoplanes(3480) Methylovirgula(1) Pseudolabrys(282) Unknown(257) Blastochloris(3) Bosea(1) 
OTU6	Thaumarchaeota(58) Crenarchaeota(3572) 	Thermoprotei(3572) Unknown(58) 	Thermoproteales(2294) Unknown(58) Fervidicoccales(11) Desulfurococcales(1267) 	Thermofilaceae(2294) Unknown(58) Fervidicoccaceae(11) Desulfurococcaceae(1267) 	Sulfophobococcus(1194) Staphylothermus(1) Thermofilum(2294) Unknown(58) Fervidicoccus(11) Aeropyrum(6) Thermosphaera(65) Ignisphaera(1) 
OTU7	Cyanobacteria(11) Proteobacteria(3614) Firmicutes(5) Tenericutes(6) Bacteroidetes(1) 	Unknown(11) Bacilli(3) Mollicutes(6) Alphaproteobacteria(3) Gammaproteobacteria(3611) Clostridia(2) Flavobacteria(1) 	Enterobacteriales(3601) Lactobacillales(1) Bacillales(2) Unknown(11) Thermoanaerobacterales(2) Flavobacteriales(1) Oceanospirillales(10) Rhizobiales(3) Entomoplasmatales(6) 	Unknown(11) Enterobacteriaceae(3601) Spiroplasmataceae(6) Phyllobacteriaceae(3) Streptococcaceae(1) Planococcaceae(1) Flavobacteriaceae(1) Thermodesulfobiaceae(2) Hahellaceae(10) Bacillaceae(1) 	Phyllobacterium(3) Spiroplasma(6) Lysinibacillus(1) Coprothermobacter(2) Kistimonas(10) Microcoleus(11) Pantoea(1) Enterobacter(3600) Algibacter(1) Bacillus(1) Lactococcus(1) 
OTU8	Acidobacteria(66) Unknown(779) Bacteroidetes(197) Thaumarchaeota(8) Euryarchaeota(2) Firmicutes(347) Proteobacteria(1253) Deferribacteres(22) Cyanobacteria(58) Actinobacteria(282) Tenericutes(2) 	Sphingobacteriia(138) Coriobacteriia(3) Betaproteobacteria(3) Unknown(913) Actinobacteria(279) Deltaproteobacteria(6) Gammaproteobacteria(1044) Mollicutes(2) Alphaproteobacteria(199) Clostridia(36) Flavobacteria(18) Deferribacteres(22) Methanomicrobia(2) Bacteroidia(39) Flavobacteriia(1) Bacilli(311) 	Unknown(918) Pseudomonadales(676) Bacillales(1) Micromonosporales(223) Myxococcales(6) Oceanospirillales(212) Deferribacterales(22) Xanthomonadales(4) Enterobacteriales(115) Flavobacteriales(19) Micrococcales(54) Corynebacteriales(2) Clostridiales(36) Bacteroidales(39) Rhizobiales(197) Coriobacteriales(3) Methanosarcinales(2) Alteromonadales(30) Rhodobacterales(1) Acidobacteriales(4) Sphingobacteriales(138) Lactobacillales(310) Rhodocyclales(1) Neisseriales(2) Mycoplasmatales(1) 	Micrococcaceae(53) Mycoplasmataceae(1) Rhodocyclaceae(1) Prevotellaceae(38) Alcanivoracaceae(152) Hyphomicrobiaceae(196) Rhodobacteraceae(1) Planococcaceae(1) Lactobacillaceae(308) Micromonosporaceae(223) Pseudomonadaceae(676) Sandaracinaceae(6) Acidobacteriaceae(4) Leuconostocaceae(2) Sinobacteraceae(3) Unknown(1005) Enterobacteriaceae(115) Neisseriaceae(2) Chitinophagaceae(138) Bogoriellaceae(1) Xanthomonadaceae(1) Peptostreptococcaceae(30) Flavobacteriaceae(6) Coriobacteriaceae(3) Mycobacteriaceae(2) Ruminococcaceae(2) Methanosarcinaceae(2) Brucellaceae(1) Cryomorphaceae(13) Pseudoalteromonadaceae(30) 	Alcanivorax(152) Candidatus_Phytoplasma(1) Micrococcus(53) Candidatus_Ishikawaella(115) Pseudomonas(676) Acidobacterium(4) Micromonospora(3) Ferruginibacter(138) Zoogloea(1) Subdoligranulum(2) Ochrobactrum(1) Verrucosispora(220) Methanosarcina(2) Unknown(1002) Flavobacterium(6) Mycobacterium(2) Leuconostoc(2) Owenweeksia(13) Prevotella(38) Synechococcus(44) Lysinibacillus(1) Mycoplasma(1) Stenotrophomonas(1) Octadecabacter(1) Uruburuella(2) Georgenia(1) Lactobacillus(308) Rhodomicrobium(196) Pseudoalteromonas(30) 
OTU9	Bacteroidetes(2977)	Sphingobacteriia(2977)	Sphingobacteriales(2977)	Chitinophagaceae(2977)	Niabella(40) Flavisolibacter(36) Parasegetibacter(1) Ferruginibacter(178) Filimonas(1) Chitinophaga(4) Unknown(593) Terrimonas(2123) Segetibacter(1) 
OTU10	Unknown(2) Firmicutes(2190) Actinobacteria(241) 	Unknown(211) Bacilli(2190) Thermoleophilia(32) 	Bacillales(2190) Solirubrobacterales(32) Unknown(2) Actinomycetales(209) 	Micrococcaceae(101) Planococcaceae(264) Unknown(181) Bacillaceae(1887) 	Kurthia(2) Geobacillus(3) Viridibacillus(4) Lysinibacillus(58) Bacillus(1882) Sporosarcina(15) Arthrobacter(101) Unknown(336) Paenisporosarcina(19) Gemella(4) Anoxybacillus(2) Solibacillus(7) 
