DEFINED OTU	PHYLUM	CLASS	ORDER	FAMILY	GENUS
OTU7166	Ascomycota(1)	Saccharomycetes(1)	Saccharomycetales(1)	Unclassified(1)	Ogataea(1)
OTU7167	Ascomycota(1)	Leotiomycetes(1)	Unclassified(1)	Unclassified(1)	Bulgaria(1)
OTU7168	Chytridiomycota(1)	Chytridiomycetes(1)	Chytridiales(1)	Chytridiaceae(1)	Chytriomyces(1)
OTU7169	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7170	Ascomycota(1)	Leotiomycetes(1)	Helotiales(1)	Unclassified(1)	Environmental(1)
OTU7171	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7172	Ascomycota(1)	Leotiomycetes(1)	Unclassified(1)	Erysiphaceae(1)	Podosphaera(1)
OTU7173	Unclassified(1)	Unclassified(1)	Endogonales(1)	Endogonaceae(1)	Endogone(1)
OTU7174	Basidiomycota(1)	Agaricostilbomycetes(1)	Unclassified(1)	Unclassified(1)	Sporobolomyces(1)
OTU7175	Ascomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7176	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7177	Ascomycota(1)	Saccharomycetes(1)	Saccharomycetales(1)	Unclassified(1)	Candida(1)
OTU7178	Ascomycota(1)	Orbiliomycetes(1)	Orbiliales(1)	Orbiliaceae(1)	Monacrosporium(1)
OTU7179	Chytridiomycota(1)	Monoblepharidomycetes(1)	Monoblepharidales(1)	Monoblepharidaceae(1)	Monoblepharella(1)
OTU7180	Ascomycota(1)	Eurotiomycetes(1)	Eurotiales(1)	Trichocomaceae(1)	Aspergillus(1)
OTU7181	Ascomycota(1)	Eurotiomycetes(1)	Eurotiales(1)	Trichocomaceae(1)	Aspergillus(1)
OTU7182	Basidiomycota(1)	Agaricomycetes(1)	Environmental(1)	Unclassified(1)	Unclassified(1)
OTU7183	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7184	Ascomycota(1)	Leotiomycetes(1)	Unclassified(1)	Myxotrichaceae(1)	Geomyces(1)
OTU7185	Ascomycota(1)	Eurotiomycetes(1)	Eurotiales(1)	Helvellaceae(1)	Unknown(1)
OTU7186	Basidiomycota(1)	Agaricomycetes(1)	Boletales(1)	Serpulaceae(1)	Serpula(1)
OTU7187	Ascomycota(1)	Leotiomycetes(1)	Helotiales(1)	Unclassified(1)	Environmental(1)
OTU7188	Basidiomycota(1)	Agaricomycetes(1)	Boletales(1)	Auriscalpiaceae(1)	Unknown(1)
OTU7189	Ascomycota(1)	Dothideomycetes(1)	Pleosporales(1)	Montagnulaceae(1)	Paraconiothyrium(1)
OTU7190	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7191	Basidiomycota(1)	Agaricomycetes(1)	Agaricales(1)	Cystofilobasidiaceae(1)	Cystofilobasidium(1)
OTU7192	Chytridiomycota(1)	Monoblepharidomycetes(1)	Monoblepharidales(1)	Monoblepharidaceae(1)	Monoblepharis(1)
OTU7193	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7194	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7195	Basidiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Glaciozyma(1)
OTU7196	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7197	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7198	Unclassified(1)	Unclassified(1)	Mucorales(1)	Unclassified(1)	Umbelopsis(1)
OTU7199	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7200	Glomeromycota(1)	Glomeromycetes(1)	Glomerales(1)	Glomeraceae(1)	Unclassified(1)
OTU7201	Unclassified(1)	Unclassified(1)	Unclassified(1)	Olpidiaceae(1)	Olpidium(1)
OTU7202	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
