	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta
OTU36	15	9	14	41	20	21	19	0	0	0	0	0	1	60	114	37	58	54	146	19	20	28	12	5	8
OTU37	9	6	11	13	5	6	13	13	29	11	26	234	236	4	4	15	7	3	6	9	6	5	2	3	12
OTU38	0	0	0	42	35	291	0	0	0	0	0	0	0	4	200	5	5	2	70	0	0	0	0	2	0
OTU39	139	61	58	41	4	3	5	31	31	35	59	66	66	0	2	0	0	1	2	0	0	0	0	0	0
OTU40	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	170	127	63	151	91	0
OTU41	15	20	21	6	0	3	4	0	0	1	0	0	0	194	54	120	41	74	33	0	1	0	0	0	0
OTU42	37	33	30	13	19	19	33	1	0	0	0	0	2	24	43	36	26	31	41	36	39	62	16	19	18
OTU43	22	26	19	137	92	190	6	0	0	0	0	0	0	6	12	10	22	6	8	4	4	4	3	0	2
OTU44	145	132	68	63	26	62	19	0	1	0	0	0	0	4	1	2	1	4	1	10	1	5	0	0	25
OTU45	0	0	0	13	12	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	1	186	222	109
OTU46	50	43	49	31	16	15	39	4	3	2	5	14	11	28	53	55	25	25	30	12	7	5	12	4	9
OTU47	24	11	21	7	1	0	6	26	47	35	57	133	168	0	0	0	2	0	0	0	2	0	0	0	0
OTU48	43	58	56	13	9	12	32	21	21	28	21	14	25	29	28	34	21	19	12	8	13	12	2	3	6
OTU49	49	20	28	32	20	41	10	0	0	0	0	1	0	14	38	51	42	37	27	19	20	5	9	5	72
OTU50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	330	1	128	0	0	0	0	0	0
OTU51	141	81	64	45	29	41	8	1	0	0	0	0	0	8	5	11	5	7	8	12	23	8	6	2	2
OTU52	0	0	1	0	1	1	45	1	0	1	0	0	2	5	1	3	3	0	5	69	101	79	34	24	76
OTU53	13	36	92	19	26	18	3	2	1	0	0	0	0	39	7	45	48	32	12	19	5	20	7	4	2
OTU54	13	4	6	168	111	95	7	2	2	0	1	4	2	1	5	0	0	0	18	0	1	6	1	2	2
OTU55	0	1	1	0	1	0	18	55	62	68	79	86	63	2	2	3	0	3	4	0	0	0	0	1	0
OTU56	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	8	2	117	245	68
OTU57	0	0	0	44	388	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0
OTU58	23	19	24	8	2	5	15	28	16	28	25	11	15	41	19	24	17	27	16	27	22	14	5	5	1
OTU59	10	11	13	5	12	2	3	54	40	37	47	42	33	20	15	25	15	19	15	2	0	6	1	2	1
OTU60	6	21	4	2	1	0	26	0	0	0	0	0	1	36	34	67	50	33	31	23	38	22	8	7	12
OTU61	7	0	2	22	0	24	0	0	0	2	0	0	0	0	7	9	0	0	7	7	2	5	84	118	98
OTU62	6	13	10	6	36	131	1	0	1	0	0	2	0	0	15	2	3	2	19	19	17	16	29	33	21
OTU63	12	6	9	9	11	7	3	31	13	23	25	30	41	4	2	5	9	11	3	12	35	14	15	3	46
OTU64	12	15	14	38	19	30	8	1	1	1	2	0	0	43	36	49	26	26	37	1	0	1	0	2	1
OTU65	2	14	6	3	4	1	16	6	9	5	4	4	5	29	6	28	32	18	16	45	48	36	16	4	6
OTU66	0	0	0	26	17	1	0	0	0	0	0	0	0	1	1	0	4	1	5	0	2	4	146	96	54
OTU67	21	19	17	16	23	16	5	12	18	11	20	26	28	18	19	17	18	12	13	4	4	8	4	2	3
OTU68	5	7	4	3	1	0	3	0	1	0	12	34	31	9	18	10	19	12	13	34	37	47	13	14	16
OTU69	0	1	0	65	27	1	1	0	0	0	0	0	0	5	0	0	2	0	0	1	0	3	95	71	67
OTU70	52	30	41	3	8	15	12	20	18	28	25	14	26	5	4	6	5	5	3	4	3	0	0	0	1
OTU71	0	0	1	1	2	0	2	54	49	49	45	55	63	0	0	0	0	1	0	0	0	0	0	0	0
OTU72	22	21	26	8	6	5	31	0	3	2	2	3	2	24	26	34	28	23	23	8	4	7	4	3	2
OTU73	27	31	6	25	33	39	0	2	0	0	0	0	0	4	8	15	2	4	6	31	69	10	2	1	1
OTU74	6	3	14	4	0	0	4	1	1	3	2	3	1	13	48	24	55	15	110	0	0	8	0	0	0
OTU75	21	21	16	8	6	12	19	4	3	4	5	2	0	37	32	27	25	24	18	5	12	8	1	1	2
OTU76	33	21	33	19	27	16	11	0	0	2	2	9	3	11	12	9	10	18	9	13	18	3	2	5	10
OTU77	0	0	0	0	0	0	0	63	42	90	51	34	7	0	0	0	1	0	0	0	0	0	1	0	0
OTU78	37	52	34	26	14	23	7	0	0	0	0	0	0	14	15	17	5	18	14	2	2	3	0	0	1
OTU79	37	26	30	15	8	13	11	1	0	0	0	0	2	15	8	14	23	13	12	11	18	15	4	3	3
OTU80	1	0	1	1	40	31	0	0	0	0	0	0	0	13	49	24	54	13	45	0	0	0	0	6	4
OTU81	9	21	11	1	3	3	27	6	7	10	11	7	7	19	14	14	28	13	16	8	12	10	6	5	8
OTU82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	68	68	23	19	33
OTU83	2	6	7	1	0	1	11	4	11	6	4	4	1	21	6	24	13	8	6	38	46	28	7	11	8
OTU84	12	13	6	5	12	6	4	25	31	30	38	37	36	0	0	0	0	1	1	0	3	4	0	0	0
OTU85	0	0	3	0	0	2	0	0	0	0	1	0	0	1	89	2	34	4	124	0	0	1	0	0	0
OTU86	9	8	5	52	50	82	1	0	0	0	0	0	0	2	9	1	6	0	19	0	1	0	5	5	5
OTU87	15	1	6	1	2	1	45	3	1	1	3	4	7	6	4	3	4	27	26	20	17	24	9	8	15
OTU88	4	3	3	0	0	1	4	0	0	0	0	0	1	16	12	19	27	13	5	33	28	50	9	10	14
OTU89	26	28	22	27	10	13	9	0	0	0	0	0	0	17	21	21	7	21	11	6	3	6	0	1	3
OTU90	0	3	2	11	212	16	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU91	0	0	0	0	0	0	2	58	42	62	44	24	8	0	1	1	0	0	0	1	0	0	0	0	1
OTU92	24	28	44	9	5	7	11	3	1	2	0	2	1	14	13	17	18	20	7	2	7	3	2	0	0
OTU93	41	40	50	23	23	33	3	1	0	0	0	0	0	2	7	5	1	4	2	0	3	0	0	0	1
OTU94	0	0	0	28	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0
OTU95	21	20	11	10	3	2	19	4	12	8	14	7	6	10	19	12	12	14	11	4	1	1	4	3	3
OTU96	0	0	0	0	0	1	0	66	32	33	41	16	24	0	0	1	0	0	0	0	0	0	0	1	0
OTU97	8	7	19	5	0	2	5	3	0	3	0	1	0	25	3	18	8	7	7	41	29	13	6	3	2
OTU98	2	4	5	2	3	0	58	1	1	2	1	6	4	18	24	32	12	3	4	3	12	5	0	4	4
OTU99	19	41	13	16	11	6	4	0	1	0	3	5	4	22	5	10	9	10	18	3	2	1	2	2	1
OTU100	18	15	9	3	3	3	3	19	5	18	20	31	30	4	3	6	3	4	2	2	2	0	0	0	1
