	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta
OTU1267	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0
OTU1268	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	1	0	0
OTU1269	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
OTU1270	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0
OTU1271	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0
OTU1272	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU1273	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3
OTU1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7
OTU1275	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	4
OTU1276	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0
OTU1277	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0
OTU1278	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0
OTU1279	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	1	1	0	0	0	0
OTU1280	1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1281	1	0	3	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU1282	1	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0
OTU1284	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1285	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0
OTU1286	0	0	0	0	0	0	0	0	3	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1287	0	0	2	0	0	0	0	0	0	1	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0
OTU1288	1	0	1	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1289	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU1290	0	1	0	1	0	0	2	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0
OTU1291	0	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU1292	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1293	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
OTU1294	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1295	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU1296	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0
OTU1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	1
OTU1299	0	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0
OTU1301	0	0	0	0	0	0	0	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1302	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
OTU1303	0	0	0	0	0	0	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1304	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU1305	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU1306	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	1
OTU1308	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0
OTU1309	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0
OTU1310	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1311	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1312	2	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1313	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0
OTU1314	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	1	0	0
OTU1315	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0
OTU1316	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0
OTU1317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0
OTU1318	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1319	0	0	0	0	0	0	0	1	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1320	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0
OTU1321	0	0	0	0	0	0	1	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0
OTU1323	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
OTU1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	1	0	0	0	0	0	0
OTU1325	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
OTU1326	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU1327	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
OTU1328	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
OTU1329	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0
OTU1330	1	0	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1331	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1
OTU1332	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0
OTU1333	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1334	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0
OTU1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	3
OTU1336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
OTU1337	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	2
OTU1338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	3
OTU1339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	1
OTU1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	1
OTU1341	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU1342	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
OTU1343	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	0
OTU1345	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
OTU1346	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0
OTU1347	0	0	0	0	0	0	0	0	2	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1348	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
OTU1349	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU1350	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0
OTU1352	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1353	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
OTU1354	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0
OTU1355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0	1	0	0	0	0
OTU1356	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0
OTU1357	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
OTU1358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0
OTU1359	0	0	0	0	0	0	0	2	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1360	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1361	1	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1362	0	0	0	0	0	0	0	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1363	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU1364	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2
OTU1365	0	0	1	0	0	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1366	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	0
OTU1367	0	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU1368	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU1369	0	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1370	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1
OTU1371	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1
OTU1372	2	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU1373	1	0	0	0	0	0	0	1	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1374	1	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1375	0	0	1	3	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
OTU1377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0
OTU1378	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	0	1	0	0	0	0	0	0	0
OTU1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	1	0
OTU1380	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	1	0	0	0	1	0	0	0	0
OTU1381	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0
OTU1382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	3	0	0	0	0
OTU1383	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0
OTU1384	0	0	0	0	0	0	0	0	1	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1385	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0
OTU1386	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
OTU1387	0	1	1	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1388	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
OTU1389	1	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
OTU1390	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1391	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
OTU1393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5
OTU1394	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2
OTU1395	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU1396	0	0	0	0	0	0	0	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1397	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	2	0	0	0
OTU1398	0	0	0	0	0	0	0	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1399	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1400	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
OTU1401	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1402	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	2	0	0	0	0	0	0
OTU1403	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0
OTU1404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
OTU1405	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
OTU1406	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	1	1	0	0	0
OTU1407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	1	0	0	0	0
OTU1408	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0
OTU1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	1	0
OTU1410	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1411	0	2	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1412	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1
OTU1413	1	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1414	1	1	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1415	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	1	0	0
OTU1416	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
OTU1417	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0
OTU1418	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0
OTU1419	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU1420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3
OTU1421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0
OTU1422	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1
OTU1423	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	1	0	0	0	0	0	0
OTU1424	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	1	0	0	0	1
OTU1425	0	0	0	0	0	0	0	0	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1426	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0
OTU1427	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0
OTU1428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	0	0
OTU1429	0	1	0	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU1430	2	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	1
OTU1432	0	0	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1433	0	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1434	1	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	0	0	0	0	0	0
OTU1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
OTU1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0
OTU1438	0	1	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1439	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0
OTU1441	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
OTU1442	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1443	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1444	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0
OTU1445	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0	0
OTU1446	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0
OTU1447	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0
OTU1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0
OTU1449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	0
OTU1450	0	1	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU1451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
OTU1452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
OTU1453	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU1454	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU1455	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0
OTU1456	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
OTU1457	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU1458	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0
OTU1459	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0
OTU1460	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1461	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
OTU1462	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1
OTU1463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4
OTU1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
OTU1465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
OTU1466	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0
OTU1467	2	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU1468	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU1469	0	0	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1470	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1471	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0
OTU1472	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1473	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1474	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0
OTU1475	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0
OTU1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
OTU1477	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0
OTU1478	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
OTU1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	1	0	0	0	0
OTU1480	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	1	0
