DEFINED OTU	PHYLUM	CLASS	ORDER	FAMILY	GENUS
OTU11	Chlorophyta(4148) Unknown(938) 	Chlorophyceae(4147) Unknown(939) 	Chlamydomonadales(4147) Unknown(939) 	Volvocaceae(1) Chlorococcaceae(783) Chlamydomonadaceae(3362) Unknown(940) 	Chloromonas(1769) Unknown(305) Gonium(1) Characiochloris(664) Dangeardinia(1169) Chlamydomonas(395) Chlorococcum(783) 
OTU12	Unknown(157) Chlorophyta(4192) 	Unknown(158) Trebouxiophyceae(3) Chlorophyceae(4188) 	Sphaeropleales(4156) Chlamydomonadales(31) Unknown(159) Chlorellales(3) 	Chlorococcaceae(5) Chlorellaceae(3) Scenedesmaceae(4147) Volvocaceae(1) Chromochloridaceae(9) Unknown(160) Chlamydomonadaceae(24) 	Chromochloris(9) Chloromonas(15) Acutodesmus(4147) Characiochloris(2) Gonium(1) Chlorotetraedron(145) Unknown(7) Chlorococcum(5) Chlamydomonas(8) Pseudomuriella(2) Chlorella(3) Bracteacoccus(5) 
OTU13	Cyanobacteria(4256) Chlorophyta(4) 	Unknown(4256) Trebouxiophyceae(3) Pedinophyceae(1) 	Marsupiomonadales(1) Nostocales(2) Oscillatoriales(494) Unknown(9) Pleurocapsales(14) Chroococcales(3738) Chlorellales(2) 	Unknown(4255) Chlorellaceae(2) Nostocaceae(2) Marsupiomonadaceae(1) 	Thermosynechococcus(18) Gloeocapsopsis(4) Unknown(25) Microcoleus(4) Synechocystis(1) Pseudanabaena(49) Chroococcidiopsis(14) Crinalium(5) Acaryochloris(2) Oscillatoria(278) Dicloster(1) Nodosilinea(1) Marsupiomonas(1) Nostoc(1) Synechococcus(3699) Anabaena(1) Plectonema(56) Chlorella(2) Leptolyngbya(98) 
OTU14	Unknown(4250)	Synurophyceae(1) Eustigmatophyceae(1) Phaeophyceae(659) Unknown(3586) Xanthophyceae(3) 	Ectocarpales(653) Vaucheriales(3) Laminariales(5) Parmales(1) Unknown(3587) Fucales(1) 	Acinetosporaceae(7) Vaucheriaceae(3) Ectocarpaceae(556) Unknown(3682) Triparmaceae(1) Fucaceae(1) 	Pylaiella(7) Vaucheria(3) Unknown(152) Trachydiscus(1) Ectocarpus(556) Fucus(1) Triparma(1) Sargassum(3529) 
OTU15	Unknown(3840) Cyanobacteria(377) 	Unknown(4217)	Prochlorales(377) Unknown(3840) 	Unknown(3840) Prochlorotrichaceae(377) 	Prochlorothrix(377) Unknown(3840) 
OTU16	Cyanobacteria(3682)	Unknown(3682)	Nostocales(3682)	Nostocaceae(3682)	Unknown(145) Nostoc(3356) Anabaena(78) Cylindrospermum(102) Dolichospermum(1) 
OTU17	Unknown(3417)	Unknown(9) Klebsormidiophyceae(3408) 	Unknown(9) Klebsormidiales(3408) 	Unknown(9) Klebsormidiaceae(3408) 	Unknown(9) Klebsormidium(3408) 
OTU18	Cyanobacteria(3063)	Unknown(3063)	Oscillatoriales(3063)	Unknown(3063)	Plectonema(14) Unknown(2) Nodosilinea(3047) 
OTU19	Cyanobacteria(1) Unknown(2) Chlorophyta(2455) 	Chlorophyceae(2421) Unknown(4) Trebouxiophyceae(33) 	Unknown(9) Chlorellales(27) Chlamydomonadales(2421) Prochlorales(1) 	Chlorellaceae(27) Prochlorococcaceae(1) Chlamydomonadaceae(3) Unknown(2427) 	Neocystis(5) Chlorella(27) Ettlia(2418) Chlamydomonas(2) Prochlorococcus(1) Chloromonas(1) Chlorotetraedron(1) Unknown(3) 
OTU20	Unknown(2000) Bacillariophyta(86) 	Bacillariophyceae(72) Coscinodiscophyceae(4) Mediophyceae(6) Unknown(1401) Dinophyceae(603) 	Naviculales(20) Eunotiales(13) Bacillariales(7) Hemiaulales(6) Cymbellales(32) Unknown(1401) Peridiniales(603) Thalassiosirales(4) 	Naviculaceae(14) Eunotiaceae(13) Phaeodactylaceae(6) Bacillariaceae(7) Gomphonemataceae(32) Peridiniaceae(603) Unknown(1401) Hemiaulaceae(6) Thalassiosiraceae(3) Stephanodiscaceae(1) 	Thalassiosira(3) Didymosphenia(32) Eunotia(13) Cyclotella(1) Cylindrotheca(3) Phaeodactylum(6) Kryptoperidinium(603) Unknown(1405) Cerataulina(6) Fistulifera(14) 
OTU21	Cyanobacteria(1833) Unknown(1) 	Unknown(1834)	Unknown(1) Oscillatoriales(1833) 	Unknown(1834)	Unknown(1) Pseudanabaena(1833) 
OTU22	Chlorophyta(1816)	Chlorophyceae(1809) Unknown(7) 	Unknown(7) Chlamydomonadales(1809) 	Volvocaceae(119) Chlamydomonadaceae(1607) Unknown(90) 	Chlamydomonas(1606) Unknown(90) Gonium(119) Chloromonas(1) 
OTU23	Cyanobacteria(1728)	Unknown(1728)	Nostocales(5) Pleurocapsales(4) Oscillatoriales(1719) 	Unknown(1723) Nostocaceae(5) 	Microcoleus(1717) Chroococcidiopsis(4) Crinalium(2) Cylindrospermum(5) 
OTU24	Cyanobacteria(1693)	Unknown(1693)	Unknown(5) Chroococcales(7) Oscillatoriales(1650) Pleurocapsales(8) Nostocales(23) 	Unknown(1670) Rivulariaceae(7) Nostocaceae(16) 	Cyanothece(7) Pseudanabaena(19) Crinalium(4) Coleofasciculus(261) Chroococcidiopsis(2) Kamptonema(2) Anabaena(1) Plectonema(2) Leptolyngbya(1) Cylindrospermum(15) Pleurocapsa(6) Unknown(244) Calothrix(7) Microcoleus(1122) 
OTU25	Cyanobacteria(410) Unknown(56) Chlorophyta(1092) 	Unknown(466) Trebouxiophyceae(1092) 	Prochlorales(410) Chlorellales(41) Unknown(1107) 	Chlorellaceae(41) Prochlorococcaceae(410) Unknown(1107) 	Chlorella(23) Neocystis(975) Unknown(132) Lobosphaera(18) Prochlorococcus(410) 
OTU26	Cyanobacteria(1450)	Unknown(1450)	Nostocales(3) Unknown(6) Chroococcales(19) Pleurocapsales(5) Oscillatoriales(1417) 	Nostocaceae(3) Unknown(1447) 	Oscillatoria(2) Stanieria(1) Cyanothece(2) Chroococcidiopsis(4) Coleofasciculus(2) Crinalium(16) Unknown(72) Microcoleus(21) Spirulina(1) Thermosynechococcus(11) Leptolyngbya(12) Plectonema(21) Anabaena(1) Synechococcus(6) Geitlerinema(1277) Nostoc(1) 
OTU27	Cyanobacteria(1431)	Unknown(1431)	Pleurocapsales(45) Unknown(21) Oscillatoriales(1258) Chroococcales(101) Nostocales(6) 	Nostocaceae(6) Unknown(1425) 	Stanieria(2) Coleofasciculus(20) Chroococcidiopsis(43) Acaryochloris(2) Oscillatoria(2) Lyngbya(3) Thermosynechococcus(90) Spirulina(1142) Unknown(27) Gloeocapsa(1) Microcoleus(9) Anabaena(2) Plectonema(4) Leptolyngbya(3) Nodosilinea(25) Nostoc(4) Geitlerinema(46) Synechococcus(6) 
OTU28	Unknown(1417)	Eustigmatophyceae(1417)	Eustigmatales(1417)	Monodopsidaceae(1417)	Nannochloropsis(1417)
OTU29	Bryophyta(1214) Unknown(171) Anthocerotophyta(24) 	Takakiopsida(97) Polytrichopsida(48) Unknown(1139) Leiosporocerotopsida(17) Sphagnopsida(3) Tetraphidopsida(56) Anthocerotopsida(6) Bryopsida(43) 	Dendrocerotales(3) Unknown(1143) Splachnales(31) Takakiales(97) Anthocerotales(2) Bryales(2) Funariales(1) Polytrichales(48) Tetraphidales(56) Pottiales(1) Diphysciales(3) Leiosporocerotales(17) Hypnales(1) Notothyladales(1) Sphagnales(3) 	Pottiaceae(1) Polytrichaceae(48) Unknown(1143) Leiosporocerotaceae(17) Pylaisiadelphaceae(1) Takakiaceae(97) Meesiaceae(31) Anthocerotaceae(2) Notothyladaceae(1) Diphysciaceae(3) Sphagnaceae(3) Mniaceae(2) Funariaceae(1) Dendrocerotaceae(3) Tetraphidaceae(56) 	Physcomitrella(1) Leiosporoceros(17) Takakia(97) Phaeoceros(1) Unknown(1162) Tetraphis(56) Syntrichia(1) Polytrichum(27) Diphyscium(3) Nothoceros(2) Dendroceros(1) Polytrichastrum(2) Leptobryum(31) Sphagnum(3) Mnium(2) Anthoceros(2) Heterophyllium(1) 
OTU30	Cyanobacteria(1) Unknown(1) Chlorophyta(1224) 	Trebouxiophyceae(3) Unknown(2) Chlorophyceae(1221) 	Chlamydomonadales(1212) Microthamniales(1) Chlorellales(1) Unknown(11) Prochlorales(1) 	Chlorellaceae(1) Coccomyxaceae(1) Chlamydomonadaceae(3) Prochlorococcaceae(1) Unknown(1220) 	Chlamydomonas(3) Prochlorococcus(1) Carteria(7) Ettlia(1209) Coccomyxa(1) Chlorella(1) Trebouxia(1) Unknown(3) 
OTU31	Unknown(1110) Cyanobacteria(87) 	Unknown(1172) Eustigmatophyceae(25) 	Unknown(1085) Prochlorales(87) Eustigmatales(25) 	Monodopsidaceae(25) Prochlorotrichaceae(87) Unknown(1085) 	Prochlorothrix(87) Nannochloropsis(25) Unknown(1085) 
OTU32	Cyanobacteria(1132)	Unknown(1132)	Oscillatoriales(25) Unknown(6) Pleurocapsales(915) Chroococcales(182) Nostocales(4) 	Nostocaceae(4) Unknown(1128) 	Leptolyngbya(8) Oscillatoria(6) Plectonema(5) Chroococcidiopsis(915) Coleofasciculus(2) Unknown(8) Synechococcus(177) Gloeocapsa(4) Microcoleus(3) Nostoc(4) 
OTU33	Chlorophyta(1041) Unknown(3) 	Chlorophyceae(1040) Unknown(3) Trebouxiophyceae(1) 	Unknown(3) Chlorellales(1) Chlamydomonadales(1040) 	Chlamydomonadaceae(1039) Unknown(4) Chlorellaceae(1) 	Lobosphaera(1) Chlamydomonas(25) Jenufa(1) Unknown(3) Characiochloris(1) Chloromonas(1013) 
OTU34	Cyanobacteria(7) Unknown(1034) 	Unknown(1041)	Prochlorales(7) Unknown(1034) 	Unknown(1034) Prochlorotrichaceae(7) 	Unknown(1034) Prochlorothrix(7) 
OTU35	Chlorophyta(1) Unknown(1003) 	Chlorophyceae(1) Unknown(1003) 	Unknown(1003) Chlamydomonadales(1) 	Unknown(1003) Chlamydomonadaceae(1) 	Chlamydomonas(1) Bracteacoccus(1003) 
OTU36	Unknown(19) Chlorophyta(967) 	Unknown(19) Trebouxiophyceae(967) 	Chlorellales(1) Unknown(984) Microthamniales(1) 	Unknown(931) Coccomyxaceae(54) Chlorellaceae(1) 	Unknown(886) Paradoxia(44) Elliptochloris(1) Chlorella(1) Coccomyxa(54) 
OTU37	Chlorophyta(983)	Ulvophyceae(983)	Unknown(17) Ulotrichales(44) Ulvales(911) Chlorocystidales(11) 	Unknown(983)	Unknown(17) Trichosarcina(44) Pseudendoclonium(911) Desmochloris(11) 
OTU38	Unknown(930)	Unknown(930)	Unknown(930)	Unknown(930)	Unknown(930)
OTU39	Chlorophyta(875)	Trebouxiophyceae(875)	Unknown(875)	Unknown(875)	Pseudochloris(875)
OTU40	Unknown(846)	Unknown(846)	Unknown(846)	Unknown(846)	Unknown(846)
OTU41	Chlorophyta(778) Cyanobacteria(11) Unknown(56) 	Chlorophyceae(6) Ulvophyceae(2) Trebouxiophyceae(761) Unknown(67) Pedinophyceae(9) 	Chlamydomonadales(6) Pedinomonadales(9) Chlorellales(684) Unknown(133) Prochlorales(11) Ignatiales(2) 	Chlorellaceae(684) Unknown(140) Chlamydomonadaceae(1) Pedinomonadaceae(9) Prochlorococcaceae(11) 	Dicloster(24) Chlorella(667) Pedinomonas(9) Pseudomuriella(1) Prochlorococcus(11) Xylochloris(1) Ignatius(2) Ettlia(3) Picochlorum(6) Unknown(70) Chloromonas(1) Lobosphaera(16) Planctonema(34) 
OTU42	Cyanobacteria(744)	Unknown(744)	Oscillatoriales(744)	Unknown(744)	Oscillatoria(744)
OTU43	Unknown(739)	Klebsormidiophyceae(738) Unknown(1) 	Unknown(1) Klebsormidiales(738) 	Unknown(1) Klebsormidiaceae(738) 	Klebsormidium(738) Unknown(1) 
OTU44	Chlorophyta(721) Cyanobacteria(2) 	Unknown(2) Trebouxiophyceae(719) Chlorophyceae(2) 	Oscillatoriales(1) Unknown(11) Prasiolales(705) Chlorellales(3) Chlamydomonadales(2) Prochlorales(1) 	Chlorellaceae(3) Chlamydomonadaceae(1) Prochlorococcaceae(1) Prasiolaceae(705) Unknown(13) 	Prochlorococcus(1) Chlamydomonas(1) Ettlia(1) Coleofasciculus(1) Prasiolopsis(705) Chlorella(3) Neocystis(1) Pseudochloris(1) Unknown(3) Picochlorum(6) 
OTU45	Cyanobacteria(707) Bryophyta(2) Unknown(2) Chlorophyta(5) 	Bryopsida(2) Trebouxiophyceae(5) Unknown(709) 	Nostocales(8) Chlorellales(3) Pleurocapsales(8) Chroococcales(16) Unknown(20) Oscillatoriales(661) 	Unknown(705) Chlorellaceae(3) Rivulariaceae(3) Nostocaceae(5) 	Parachlorella(2) Oscillatoria(80) Crinalium(62) Coleofasciculus(3) Chroococcidiopsis(7) Pseudanabaena(1) Cyanothece(11) Kamptonema(2) Microcoleus(11) Calothrix(3) Picochlorum(2) Unknown(33) Lobosphaera(1) Cylindrospermum(1) Pleurocapsa(1) Chlorella(2) Leptolyngbya(7) Arthrospira(478) Nostoc(4) Synechococcus(5) 
OTU46	Bacillariophyta(2) Chlorophyta(1) Cyanobacteria(712) 	Bacillariophyceae(1) Fragilariophyceae(1) Trebouxiophyceae(1) Unknown(712) 	Bacillariales(1) Fragilariales(1) Unknown(18) Chroococcales(575) Pleurocapsales(75) Oscillatoriales(45) 	Unknown(713) Fragilariaceae(1) Bacillariaceae(1) 	Chroococcidiopsis(75) Pseudanabaena(3) Cyanothece(7) Plectonema(11) Oscillatoria(15) Leptolyngbya(14) Ulnaria(1) Geitlerinema(2) Unknown(18) Picochlorum(1) Synechococcus(568) 
OTU47	Chlorophyta(1) Unknown(2) Cyanobacteria(688) 	Trebouxiophyceae(1) Unknown(690) 	Prochlorales(7) Nostocales(3) Unknown(9) Pleurocapsales(10) Chroococcales(610) Oscillatoriales(51) Microthamniales(1) 	Unknown(681) Prochlorotrichaceae(6) Prochlorococcaceae(1) Nostocaceae(3) 	Nodosilinea(2) Nostoc(1) Synechococcus(6) Prochlorothrix(6) Prochlorococcus(1) Anabaena(1) Plectonema(7) Leptolyngbya(5) Thermosynechococcus(1) Spirulina(2) Synechocystis(2) Microcoleus(3) Unknown(607) Chroococcidiopsis(9) Coleofasciculus(14) Crinalium(2) Stanieria(1) Pseudanabaena(11) Cyanothece(6) Parachlorella(1) Oscillatoria(2) Elliptochloris(1) 
OTU48	Cyanobacteria(12) Chlorophyta(629) 	Unknown(12) Trebouxiophyceae(629) 	Prochlorales(12) Chlorellales(13) Unknown(616) 	Chlorellaceae(13) Prochlorococcaceae(12) Unknown(616) 	Chlorella(13) Unknown(616) Prochlorococcus(12) 
OTU49	Unknown(8) Bacillariophyta(621) 	Mediophyceae(2) Unknown(5) Dinophyceae(3) Bacillariophyceae(611) Coscinodiscophyceae(7) Synurophyceae(1) 	Thalassiosirales(7) Peridiniales(3) Parmales(1) Unknown(88) Cymbellales(35) Hemiaulales(2) Eunotiales(26) Naviculales(467) 	Naviculaceae(8) Phaeodactylaceae(456) Eunotiaceae(26) Triparmaceae(1) Gomphonemataceae(35) Peridiniaceae(3) Hemiaulaceae(2) Unknown(93) Thalassiosiraceae(5) 	Unknown(93) Fistulifera(8) Cerataulina(2) Kryptoperidinium(3) Phaeodactylum(456) Triparma(1) Didymosphenia(35) Thalassiosira(4) Eunotia(26) Roundia(1) 
OTU50	Cyanobacteria(17) Unknown(563) 	Unknown(580)	Prochlorales(17) Unknown(563) 	Prochlorotrichaceae(17) Unknown(563) 	Prochlorothrix(17) Unknown(563) 
OTU51	Unknown(556)	Zygnemophyceae(556)	Zygnematales(556)	Zygnemataceae(556)	Nucleotaenium(556)
OTU52	Cyanobacteria(518)	Unknown(518)	Nostocales(372) Oscillatoriales(11) Unknown(2) Chroococcales(1) Pleurocapsales(132) 	Nostocaceae(371) Microchaetaceae(1) Unknown(146) 	Nostoc(337) Microchaete(1) Synechocystis(1) Unknown(16) Chroococcidiopsis(132) Cylindrospermum(31) 
OTU53	Unknown(4) Chlorophyta(498) 	Unknown(4) Trebouxiophyceae(498) 	Unknown(502)	Coccomyxaceae(111) Unknown(391) 	Unknown(378) Paradoxia(13) Coccomyxa(111) 
OTU54	Chlorophyta(500)	Ulvophyceae(500)	Ulotrichales(481) Ulvales(16) Unknown(3) 	Unknown(500)	Unknown(3) Trichosarcina(59) Chamaetrichon(422) Pseudendoclonium(16) 
OTU55	Chlorophyta(498)	Trebouxiophyceae(491) Chlorophyceae(7) 	Chlamydomonadales(7) Unknown(11) Chlorellales(480) 	Chlorellaceae(480) Unknown(18) 	Chlorella(480) Unknown(7) Ettlia(7) Xylochloris(4) 
OTU56	Cyanobacteria(487)	Unknown(487)	Unknown(66) Oscillatoriales(420) Nostocales(1) 	Nostocaceae(1) Unknown(486) 	Nostoc(1) Unknown(66) Microcoleus(409) Kamptonema(11) 
OTU57	Chlorophyta(15) Unknown(407) Cyanobacteria(41) 	Ulvophyceae(3) Chlorophyceae(2) Unknown(446) Klebsormidiophyceae(2) Trebouxiophyceae(10) 	Microthamniales(1) Chlamydomonadales(2) Chlorellales(8) Unknown(406) Prochlorales(41) Ulotrichales(3) Klebsormidiales(2) 	Chlamydomonadaceae(2) Prochlorococcaceae(41) Unknown(410) Klebsormidiaceae(2) Chlorellaceae(8) 	Gloeotilopsis(3) Unknown(405) Trebouxia(1) Prochlorococcus(41) Chlamydomonas(2) Interfilum(2) Dicloster(1) Chlorella(8) 
OTU58	Chlorophyta(460)	Trebouxiophyceae(1) Ulvophyceae(459) 	Unknown(1) Chlorocystidales(459) 	Unknown(460)	Picochlorum(1) Desmochloris(459) 
OTU59	Unknown(6) Chlorophyta(440) 	Chlorophyceae(439) Unknown(6) Trebouxiophyceae(1) 	Unknown(423) Chlorellales(1) Chlamydomonadales(22) 	Chlamydomonadaceae(18) Unknown(423) Volvocaceae(3) Chlorellaceae(1) Chlorococcaceae(1) 	Chlorococcum(1) Chlamydomonas(18) Carteria(416) Gonium(3) Jenufa(1) Unknown(6) Chlorella(1) 
OTU60	Unknown(114) Bacillariophyta(293) 	Synurophyceae(1) Coscinodiscophyceae(9) Bacillariophyceae(275) Fragilariophyceae(1) Phaeophyceae(14) Dinophyceae(52) Unknown(55) 	Thalassiosirales(9) Peridiniales(52) Cymbellales(116) Parmales(1) Laminariales(14) Unknown(58) Naviculales(49) Fragilariales(1) Eunotiales(107) 	Fragilariaceae(1) Stephanodiscaceae(1) Thalassiosiraceae(6) Unknown(72) Gomphonemataceae(116) Peridiniaceae(52) Alariaceae(3) Naviculaceae(23) Phaeodactylaceae(25) Eunotiaceae(107) Triparmaceae(1) 	Kryptoperidinium(52) Phaeodactylum(25) Asterionella(1) Undaria(3) Fistulifera(23) Unknown(72) Didymosphenia(116) Thalassiosira(6) Eunotia(107) Cyclotella(1) Triparma(1) 
OTU61	Unknown(45) Chlorophyta(332) 	Unknown(45) Trebouxiophyceae(1) Chlorophyceae(331) 	Sphaeropleales(326) Chlamydomonadales(3) Unknown(47) Chlorellales(1) 	Unknown(47) Chlamydomonadaceae(1) Chromochloridaceae(3) Chlorellaceae(1) Volvocaceae(2) Scenedesmaceae(323) 	Chlamydomonas(1) Chlorella(1) Bracteacoccus(2) Chromochloris(3) Chlorotetraedron(39) Acutodesmus(323) Gonium(2) Unknown(6) 
OTU62	Euglenozoa(353)	Unknown(353)	Euglenales(353)	Euglenaceae(353)	Euglena(353)
OTU63	Cyanobacteria(340)	Unknown(340)	Oscillatoriales(340)	Unknown(340)	Crinalium(340)
OTU64	Unknown(330)	Unknown(330)	Unknown(330)	Unknown(330)	Unknown(330)
OTU65	Chlorophyta(322)	Chlorophyceae(315) Unknown(7) 	Unknown(7) Chlamydomonadales(315) 	Chlorococcaceae(1) Volvocaceae(223) Unknown(34) Chlamydomonadaceae(64) 	Gonium(221) Unknown(34) Chlorococcum(1) Chlamydomonas(64) Pleodorina(2) 
OTU66	Chlorophyta(313)	Trebouxiophyceae(313)	Unknown(313)	Unknown(313)	Xylochloris(313)
OTU67	Cyanobacteria(312)	Unknown(312)	Pleurocapsales(12) Oscillatoriales(234) Chroococcales(15) Unknown(50) Prochlorales(1) 	Unknown(311) Prochlorotrichaceae(1) 	Prochlorothrix(1) Pseudanabaena(2) Chroococcidiopsis(12) Leptolyngbya(230) Nodosilinea(1) Geitlerinema(1) Unknown(64) Synechococcus(1) 
OTU68	Chlorophyta(298)	Ulvophyceae(298)	Chlorocystidales(298)	Unknown(298)	Desmochloris(298)
OTU69	Cyanobacteria(283) Chlorophyta(1) 	Trebouxiophyceae(1) Unknown(283) 	Prochlorales(1) Nostocales(1) Chroococcales(4) Oscillatoriales(29) Unknown(1) Pleurocapsales(248) 	Nostocaceae(1) Prochlorococcaceae(1) Unknown(282) 	Prochlorococcus(1) Anabaena(1) Pseudanabaena(1) Stanieria(237) Cyanothece(4) Coleofasciculus(1) Crinalium(1) Chroococcidiopsis(8) Oscillatoria(7) Pleurocapsa(3) Nodosilinea(1) Unknown(15) Microcoleus(2) Spirulina(1) Geitlerinema(1) 
OTU70	Unknown(13) Bacillariophyta(265) 	Bacillariophyceae(255) Fragilariophyceae(7) Coscinodiscophyceae(2) Unknown(14) 	Fragilariales(7) Naviculales(218) Unknown(15) Rhizosoleniales(1) Bacillariales(36) Thalassiosirales(1) 	Unknown(17) Phaeodactylaceae(215) Naviculaceae(2) Rhizosoleniaceae(1) Fragilariaceae(7) Bacillariaceae(36) 	Phaeodactylum(215) Ulnaria(7) Cylindrotheca(24) Fistulifera(2) Rhizosolenia(1) Unknown(29) 
OTU71	Chlorophyta(277)	Trebouxiophyceae(277)	Microthamniales(277)	Unknown(277)	Fusochloris(277)
OTU72	Unknown(277)	Zygnemophyceae(277)	Zygnematales(277)	Unknown(251) Mesotaeniaceae(3) Zygnemataceae(23) 	Fottea(251) Cylindrocystis(3) Spirogyra(23) 
