DEFINED OTU	PHYLUM	CLASS	ORDER	FAMILY	GENUS
OTU1	Chlorophyta(27187) Cyanobacteria(1) Unknown(2) 	Chlorophyceae(27187) Unknown(3) 	Unknown(27183) Chlamydomonadales(6) Prochlorales(1) 	Chlorococcaceae(1) Prochlorococcaceae(1) Chlamydomonadaceae(1) Unknown(27187) 	Ettlia(4) Carteria(27181) Prochlorococcus(1) Chlorococcum(1) Chloromonas(1) Characiochloris(2) 
OTU2	Bryophyta(24013) Marchantiophyta(17) Anthocerotophyta(6) 	Bryopsida(22873) Sphagnopsida(1) Anthocerotopsida(6) Marchantiopsida(17) Unknown(368) Tetraphidopsida(771) 	Splachnales(37) Grimmiales(1) Unknown(9395) Anthocerotales(6) Hedwigiales(8) Funariales(4) Marchantiales(17) Bryales(6171) Dicranales(20) Pottiales(6646) Tetraphidales(771) Orthotrichales(1) Hypnales(958) Sphagnales(1) 	Sphagnaceae(1) Mniaceae(170) Funariaceae(4) Tetraphidaceae(771) Bryaceae(5859) Fissidentaceae(4) Ptychomitriaceae(1) Dicranaceae(6) Pylaisiadelphaceae(1) Pottiaceae(6646) Leucobryaceae(10) Hedwigiaceae(8) Anthocerotaceae(6) Meesiaceae(37) Climaciaceae(1) Unknown(10508) Orthotrichaceae(1) Hypnaceae(2) 	Leucobryum(10) Physcomitrella(4) Bryum(5859) Dicranum(6) Unknown(10563) Fissidens(4) Hedwigia(8) Orthotrichum(1) Syntrichia(6587) Tetraphis(771) Climacium(1) Sphagnum(1) Hymenostylium(4) Leptobryum(37) Hypnum(2) Heterophyllium(1) Ptychomitrium(1) Anthoceros(6) Mnium(170) 
OTU3	Unknown(5733) Bacillariophyta(14739) 	Coscinodiscophyceae(26) Bacillariophyceae(14602) Dinophyceae(5100) Unknown(722) Mediophyceae(22) 	Bacillariales(17) Naviculales(2831) Eunotiales(8206) Peridiniales(5100) Thalassiosirales(26) Hemiaulales(22) Cymbellales(3439) Unknown(831) 	Peridiniaceae(5100) Gomphonemataceae(3439) Bacillariaceae(17) Phaeodactylaceae(1721) Eunotiaceae(8206) Naviculaceae(1058) Stephanodiscaceae(8) Thalassiosiraceae(17) Hemiaulaceae(22) Unknown(884) 	Cylindrotheca(1) Phaeodactylum(1721) Kryptoperidinium(5100) Unknown(900) Fistulifera(1058) Cerataulina(22) Didymosphenia(3439) Thalassiosira(16) Eunotia(8206) Roundia(1) Cyclotella(8) 
OTU4	Cyanobacteria(2) Unknown(18510) Bacillariophyta(157) 	Eustigmatophyceae(2) Synurophyceae(1) Bacillariophyceae(149) Fragilariophyceae(8) Phaeophyceae(507) Unknown(90) Xanthophyceae(17912) 	Ectocarpales(63) Eustigmatales(2) Vaucheriales(17912) Oscillatoriales(1) Unknown(88) Laminariales(444) Parmales(1) Fragilariales(8) Naviculales(149) Chroococcales(1) 	Fragilariaceae(8) Monodopsidaceae(2) Unknown(193) Ectocarpaceae(63) Laminariaceae(342) Phaeodactylaceae(148) Triparmaceae(1) Vaucheriaceae(17912) 	Ectocarpus(63) Unknown(127) Costaria(1) Ulnaria(8) Phaeodactylum(148) Vaucheria(17912) Triparma(1) Leptolyngbya(1) Sargassum(63) Cyanothece(1) Nannochloropsis(2) Saccharina(342) 
OTU5	Unknown(11) Cyanobacteria(9) Chlorophyta(15134) 	Chlorophyceae(17) Trebouxiophyceae(15116) Unknown(20) Pedinophyceae(1) 	Chlorellales(10383) Unknown(4744) Chlamydomonadales(17) Pedinomonadales(1) Prochlorales(9) 	Chlamydomonadaceae(2) Prochlorococcaceae(9) Pedinomonadaceae(1) Unknown(4756) Chlorellaceae(10383) Volvocaceae(3) 	Planctonema(12) Pseudochloris(18) Picochlorum(4371) Unknown(47) Marvania(1546) Prochlorococcus(9) Chlamydomonas(2) Pedinomonas(1) Ettlia(12) Dicloster(305) Neocystis(2) Chlorella(8829) 
OTU6	Unknown(1) Cyanobacteria(12219) 	Unknown(12220)	Unknown(338) Oscillatoriales(11882) 	Unknown(12220)	Unknown(344) Microcoleus(10801) Oscillatoria(22) Kamptonema(1053) 
OTU7	Cyanobacteria(11869)	Unknown(11869)	Nostocales(11869)	Nostocaceae(11869)	Nostoc(8160) Unknown(76) Dolichospermum(1) Cylindrospermum(1535) Anabaena(2097) 
OTU8	Cyanobacteria(7606) Unknown(1) Cryptophyta(3) 	Unknown(7610)	Nostocales(1) Prochlorales(9) Unknown(7) Cryptomonadales(3) Pleurocapsales(3) Chroococcales(155) Oscillatoriales(7432) 	Nostocaceae(1) Cryptomonadaceae(3) Prochlorotrichaceae(8) Prochlorococcaceae(1) Unknown(7597) 	Nodosilinea(6476) Nostoc(1) Synechococcus(100) Prochlorothrix(8) Prochlorococcus(1) Plectonema(682) Leptolyngbya(27) Spirulina(3) Microcoleus(9) Unknown(37) Cryptomonas(3) Chroococcidiopsis(3) Cyanothece(55) Pseudanabaena(8) Kamptonema(1) Oscillatoria(196) 
OTU9	Unknown(6377)	Zygnemophyceae(6377)	Zygnematales(6377)	Mesotaeniaceae(6377)	Cylindrocystis(6377)
OTU10	Unknown(27) Bacillariophyta(5494) 	Bacillariophyceae(5319) Coscinodiscophyceae(169) Mediophyceae(1) Dinophyceae(5) Unknown(27) 	Peridiniales(5) Thalassiosirales(169) Bacillariales(2) Unknown(36) Eunotiales(5279) Hemiaulales(1) Naviculales(29) 	Phaeodactylaceae(10) Eunotiaceae(5279) Naviculaceae(19) Peridiniaceae(5) Bacillariaceae(2) Hemiaulaceae(1) Unknown(38) Stephanodiscaceae(166) Thalassiosiraceae(1) 	Eunotia(5279) Thalassiosira(1) Cyclotella(166) Phaeodactylum(10) Kryptoperidinium(5) Unknown(40) Cerataulina(1) Fistulifera(19) 
